date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Temperature,Dew Point,Humidity,Wind Speed,Pressure,IntCondition,IntSeason,month,Event
3/31/2022,2585,1407,2058,1221,1314,2585,2199,1362,1207,1455,931,1496,497,425.6700275,586,80.62943994,57.71488807,50.98798617,7.656395303,29.71296801,5.096774194,2,3,1
4/30/2022,2539,1399,2029,1219,1309,2029,2105,1295,1145,1393,879,1458,459,417.5050412,532.9587534,86.02016048,66.49455795,56.76555399,10.09994678,29.6436796,4.333333333,2,4,1
5/31/2022,2620,1442,2093,1256,1349,1876,1851,1541,673,4415,941,1535,507,366.5050412,489,87.70324484,71.61029596,61.40360198,14.74437,29.30289516,6.290322581,2,5,1
6/30/2022,2446,1382,1970,1046,1830,1970,1683,1403,619,4010,838,1491,446,374.4225481,433,88.26520302,74.77930427,65.39867339,14.62441905,29.31313588,6.321428571,4,6,0
7/31/2022,2678,1500,2151,1128,1996,2151,2058,1221,1314,2585,942,1620,508,268.7112741,469,84.20703973,76.02230858,76.3651043,10.73689084,29.11069628,8.935483871,4,7,1
8/31/2022,2654,1476,2127,1104,1972,2127,1829,1519,651,4371,924,1570,490,350.5050412,529,83.33621323,76.63402137,80.67956067,9.223016729,29.37419676,9.032258065,4,8,1
9/30/2022,2641,1501,2131,1321,1171,1409,2029,1219,1309,2029,914,1554,494,354.9587534,725,84.12698935,73.14958822,71.36956649,10.35479488,29.5997278,5.633333333,3,9,0
10/31/2022,2726,1548,2199,1362,1207,1455,2093,1256,1349,1876,945,1550,480,416.9587534,1253.958753,82.42763862,62.37057678,57.17078932,6.69879202,29.76391857,6.225806452,3,10,1
11/30/2022,2615,1475,2105,1295,1145,1393,2110,1120,1960,2110,912,1508,492,478.9175069,824,76.64040821,60.19608871,61.70790374,5.059086584,29.88242943,8.2,3,11,1
12/31/2022,1395,1178,1829,1519,651,4371,2151,1128,1996,2151,926,1548,492,550.9587534,953.9587534,68.55447778,44.90047624,47.323337,5.126144214,29.91593089,7.35483871,1,12,1
