Unnamed: 0,date,Month,Day,Year,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip,IntCondition,month,p1,p2,p3,p4,p5,Season,IntSeason,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,Date,Event
35,2/5/2020,February,5,2020,67.55555556,38.55555556,36.48888889,12.28888889,0.008432517,29.98333333,0.0,6,2,76.00365965,39,60,50,22,Winter,1,120,70,43,38,46,32,48,18,11.0,24.0,2020-02-05,1
36,2/6/2020,February,6,2020,64.95833333,41.83333333,45.3125,5.479166667,0.008432517,29.94270833,0.0,3,2,62.0,37,58,48,20,Winter,1,116,73,46,41,48,30,48,16,10.0,23.0,2020-02-06,0
37,2/7/2020,February,7,2020,66.87234043,38.29787234,42.55319149,9.617021277,0.008432517,29.98,0.0,2,2,63.0,38,59,49,21,Winter,1,118,70,43,38,46,32,49,18,21.0,34.0,2020-02-07,0
38,2/8/2020,February,8,2020,67.73809524,27.02380952,22.45238095,8.19047619,0.008432517,30.055,0.0,1,2,62.0,37,58,48,20,Winter,1,116,70,43,38,46,34,49,20,17.0,30.0,2020-02-08,0
39,2/9/2020,February,9,2020,67.90697674,27.60465116,25.11627907,6.186046512,0.008432517,30.03930233,0.0,1,2,63.0,38,59,49,21,Winter,1,118,69,42,37,46,30,49,16,7.0,20.0,2020-02-09,0
40,2/10/2020,February,10,2020,68.2,28.57777778,25.57777778,8.2,0.008432517,29.972,0.0,3,2,64.0,39,60,50,22,Winter,1,120,70,43,38,46,35,50,21,20.0,33.0,2020-02-10,0
41,2/11/2020,February,11,2020,69.95555556,28.48888889,24.17777778,9.244444444,0.008432517,29.95,0.0,2,2,62.0,37,58,48,20,Winter,1,116,72,45,40,48,32,49,18,36.0,49.0,2020-02-11,0
42,2/12/2020,February,12,2020,73.30612245,33.6122449,24.51020408,12.81632653,0.008432517,30.00204082,0.0,2,2,63.0,38,59,49,21,Winter,1,118,69,42,37,46,31,48,17,10.0,23.0,2020-02-12,0
43,2/13/2020,February,13,2020,72.60465116,44.13953488,38.18604651,5.697674419,0.008432517,28.60790698,0.0,4,2,68.0,43,64,54,26,Winter,1,128,69,42,37,46,31,50,17,17.0,30.0,2020-02-13,0
44,2/14/2020,February,14,2020,72.90697674,46.51162791,44.25581395,3.279069767,0.008432517,29.95,0.0,5,2,67.0,80,63,53,25,Winter,1,126,69,42,37,46,28,47,14,15.0,28.0,2020-02-14,0
45,2/15/2020,February,15,2020,71.70212766,50.0212766,51.36170213,2.489361702,0.008432517,29.90702128,0.0,4,2,63.0,38,59,49,21,Winter,1,118,73,46,41,48,29,49,15,25.0,38.0,2020-02-15,0
46,2/16/2020,February,16,2020,74.08888889,43.62222222,40.08888889,4.155555556,0.008432517,29.93933333,0.0,4,2,62.0,37,58,48,20,Winter,1,116,70,43,38,46,30,47,16,26.0,39.0,2020-02-16,0
47,2/17/2020,February,17,2020,74.37777778,26.68888889,21.4,8.155555556,0.008432517,29.956,0.0,2,2,67.0,42,63,53,25,Winter,1,126,69,42,37,46,34,47,20,21.0,34.0,2020-02-17,0
48,2/18/2020,February,18,2020,76.28888889,25.37777778,16.06666667,5.622222222,0.008432517,29.90666667,0.0,6,2,63.0,38,59,49,21,Winter,1,118,69,42,37,46,28,47,14,23.0,36.0,2020-02-18,0
49,2/19/2020,February,19,2020,78.1627907,41.18604651,32.37209302,8.465116279,0.008432517,29.78767442,0.0,3,2,63.0,70,59,49,21,Winter,1,118,72,45,40,48,30,47,16,23.0,36.0,2020-02-19,0
50,2/20/2020,February,20,2020,74.6097561,39.04878049,32.07317073,8.219512195,0.008432517,29.80829268,0.0,5,2,62.0,37,58,48,20,Winter,1,116,71,44,39,47,30,47,16,14.0,27.0,2020-02-20,0
51,2/21/2020,February,21,2020,74.39534884,37.90697674,25.79069767,15.11627907,0.008432517,29.96674419,0.0,4,2,62.0,70,58,48,20,Winter,1,116,71,44,39,47,31,47,17,44.0,57.0,2020-02-21,0
52,2/22/2020,February,22,2020,71.3,43.375,37.8,10.85,0.008432517,30.0415,0.0,5,2,62.0,37,58,48,20,Winter,1,116,69,42,37,46,31,51,17,38.0,51.0,2020-02-22,0
53,2/23/2020,February,23,2020,76.48837209,47.04651163,36.93023256,7.88372093,0.008432517,29.28348837,0.0,3,2,65.0,40,61,51,23,Winter,1,122,74,47,42,49,30,47,16,34.0,47.0,2020-02-23,0
54,2/24/2020,February,24,2020,75.0,45.92682927,37.48780488,5.170731707,0.008432517,29.90487805,0.0,6,2,64.0,39,60,50,22,Winter,1,120,70,43,38,46,29,49,15,9.0,22.0,2020-02-24,0
55,2/25/2020,February,25,2020,75.27906977,60.81395349,63.48837209,5.651162791,0.008432517,29.85976744,0.0,7,2,63.0,100,59,49,21,Winter,1,118,73,46,41,48,33,47,19,11.0,24.0,2020-02-25,0
56,2/26/2020,February,26,2020,76.31111111,63.84444444,68.2,6.022222222,0.008432517,29.85022222,0.0,6,2,63.0,38,59,49,21,Winter,1,118,71,44,39,47,29,50,15,24.0,37.0,2020-02-26,0
57,2/27/2020,February,27,2020,77.42857143,56.45238095,53.95238095,8.166666667,0.008432517,29.83595238,0.0,5,2,62.0,37,58,48,20,Winter,1,116,73,46,41,48,31,47,17,38.0,51.0,2020-02-27,0
58,2/28/2020,February,28,2020,75.65116279,65.25581395,70.76744186,8.88372093,0.008432517,29.07069767,0.0,6,2,69.0,10,65,55,27,Winter,1,130,71,44,39,47,30,49,16,14.0,27.0,2020-02-28,0
59,2/29/2020,February,29,2020,76.54545455,62.63636364,64.81818182,5.318181818,0.008432517,29.765,0.0,9,2,68.0,43,64,54,26,Winter,1,128,71,44,39,47,34,49,20,13.0,26.0,2020-02-29,0
60,3/1/2020,March,1,2020,77.67391304,50.5,41.97826087,9.391304348,0.008432517,29.84065217,0.0,4,3,82.0,44,65,38,41,Spring,2,82,71,44,39,47,32,48,18,20.0,40.0,2020-03-01,0
61,3/2/2020,March,2,2020,76.5,48.80434783,39.04347826,6.326086957,0.008432517,29.85282609,0.0,4,3,84.0,46,67,40,43,Spring,2,84,69,42,37,46,29,51,15,16.0,36.0,2020-03-02,0
62,3/3/2020,March,3,2020,76.47727273,55.63636364,52.5,8.727272727,0.008432517,29.81,0.0,3,3,80.0,42,63,36,39,Spring,2,80,72,45,40,48,32,47,18,26.0,46.0,2020-03-03,0
63,3/4/2020,March,4,2020,75.9047619,61.21428571,61.04761905,10.61904762,0.008432517,29.74785714,0.0,3,3,81.0,43,64,37,40,Spring,2,81,70,43,38,46,29,47,15,15.0,35.0,2020-03-04,0
64,3/5/2020,March,5,2020,75.44444444,51.82222222,47.64444444,11.35555556,0.008432517,29.682,0.0,4,3,82.0,44,65,38,41,Spring,2,82,69,42,37,46,29,47,15,0.0,20.0,2020-03-05,0
65,3/6/2020,March,6,2020,72.45454545,31.34090909,23.31818182,11.38636364,0.008432517,29.75681818,0.0,8,3,80.0,42,63,36,39,Spring,2,80,71,44,39,47,28,48,14,9.958753437213566,2.0,2020-03-06,0
66,3/7/2020,March,7,2020,72.17021277,43.17021277,39.14893617,5.70212766,0.008432517,29.83808511,0.0,5,3,80.0,42,63,36,39,Spring,2,80,69,42,37,46,30,48,16,35.0,55.0,2020-03-07,0
67,3/8/2020,March,8,2020,70.72340426,43.21276596,40.19148936,6.212765957,0.008432517,29.87468085,0.0,2,3,82.0,44,65,38,41,Spring,2,82,69,42,37,46,30,48,16,14.0,34.0,2020-03-08,0
68,3/9/2020,March,9,2020,75.09302326,42.69767442,35.74418605,9.046511628,0.008432517,29.82418605,0.0,5,3,85.0,47,68,41,44,Spring,2,85,74,47,42,49,30,47,16,20.0,40.0,2020-03-09,0
69,3/10/2020,March,10,2020,75.32608696,49.52173913,42.7826087,9.608695652,0.008432517,29.75065217,0.0,5,3,82.0,44,65,38,41,Spring,2,82,71,44,39,47,32,47,18,12.0,32.0,2020-03-10,0
70,3/11/2020,March,11,2020,72.23255814,31.18604651,23.58139535,14.3255814,0.008432517,29.77023256,0.0,5,3,82.0,44,65,38,41,Spring,2,82,71,44,39,47,33,50,19,-1.0,19.0,2020-03-11,0
71,3/12/2020,March,12,2020,73.06666667,25.11111111,18.88888889,11.88888889,0.008432517,29.82466667,0.0,8,3,82.0,44,65,38,41,Spring,2,82,69,42,37,46,30,47,16,43.0,63.0,2020-03-12,0
72,3/13/2020,March,13,2020,71.86363636,35.59090909,32.36363636,5.659090909,0.008432517,29.91590909,0.0,5,3,82.0,44,65,38,41,Spring,2,82,72,45,40,48,31,49,17,18.0,38.0,2020-03-13,0
73,3/14/2020,March,14,2020,71.48837209,38.69767442,34.34883721,5.372093023,0.008432517,29.93767442,0.0,6,3,84.0,46,67,40,43,Spring,2,84,70,43,38,46,31,48,17,19.0,39.0,2020-03-14,0
74,3/15/2020,March,15,2020,70.81481481,48.88888889,49.96296296,4.407407407,0.008432517,29.92074074,0.0,6,3,81.0,43,64,37,40,Spring,2,81,71,44,39,47,29,48,15,27.0,47.0,2020-03-15,0
75,3/16/2020,March,16,2020,79.32352941,41.73529412,29.35294118,7.882352941,0.008432517,29.91588235,0.0,2,3,84.0,46,67,40,43,Spring,2,84,71,44,39,47,30,49,16,9.0,29.0,2020-03-16,0
76,3/17/2020,March,17,2020,80.0212766,40.63829787,26.76595745,6.787234043,0.008432517,29.90212766,0.0,3,3,82.0,44,65,38,41,Spring,2,82,70,43,38,46,29,47,15,4.0,24.0,2020-03-17,0
77,3/18/2020,March,18,2020,80.46808511,40.44680851,25.61702128,6.70212766,0.008432517,29.86234043,0.0,1,3,84.0,46,67,40,43,Spring,2,84,69,42,37,46,28,47,14,11.0,31.0,2020-03-18,0
78,3/19/2020,March,19,2020,78.60465116,43.95348837,32.72093023,6.511627907,0.008432517,29.78069767,0.0,3,3,81.0,43,64,37,40,Spring,2,81,70,43,38,46,34,47,20,19.0,39.0,2020-03-19,0
79,3/20/2020,March,20,2020,78.26190476,63.5,61.35714286,13.85714286,0.008432517,29.74428571,0.0,2,3,88.0,50,71,44,47,Spring,2,88,70,43,38,46,30,47,16,21.0,41.0,2020-03-20,0
80,3/21/2020,March,21,2020,79.11363636,66.45454545,66.5,7.795454545,0.008432517,29.78613636,0.0,5,3,83.0,45,66,39,42,Spring,2,83,69,42,37,46,33,47,19,18.0,38.0,2020-03-21,0
81,3/22/2020,March,22,2020,75.86363636,63.36363636,62.65909091,8.204545455,0.008432517,29.81954545,0.0,5,3,83.0,45,66,39,42,Spring,2,83,70,43,38,46,31,48,17,8.0,28.0,2020-03-22,0
82,3/23/2020,March,23,2020,78.5106383,63.78723404,62.21276596,6.765957447,0.008432517,29.80468085,0.0,5,3,76.00365965,43,64,37,40,Spring,2,81,74,47,42,49,32,49,18,2.0,22.0,2020-03-23,1
83,3/24/2020,March,24,2020,80.0,66.86363636,65.25,7.568181818,0.008432517,29.76772727,0.0,4,3,80.0,42,63,36,39,Spring,2,80,70,43,38,46,35,50,21,-2.0,18.0,2020-03-24,0
84,3/25/2020,March,25,2020,77.35897436,57.33333333,52.74358974,5.461538462,0.008432517,29.76846154,0.0,7,3,85.0,47,68,41,44,Spring,2,85,69,42,37,46,28,49,14,31.0,51.0,2020-03-25,0
85,3/26/2020,March,26,2020,72.73809524,58.4047619,61.30952381,5.023809524,0.008432517,29.84142857,0.0,8,3,85.0,47,68,41,44,Spring,2,85,71,44,39,47,29,49,15,7.0,27.0,2020-03-26,0
86,3/27/2020,March,27,2020,73.0,54.76744186,55.20930233,9.372093023,0.008432517,29.89953488,0.0,1,3,83.0,45,66,39,42,Spring,2,83,70,43,38,46,29,49,15,31.0,51.0,2020-03-27,0
87,3/28/2020,March,28,2020,75.83333333,59.30952381,57.5,11.83333333,0.008432517,29.865,0.0,1,3,87.0,49,70,43,46,Spring,2,87,69,42,37,46,32,47,18,15.0,35.0,2020-03-28,0
88,3/29/2020,March,29,2020,81.38636364,54.27272727,46.13636364,7.954545455,0.008432517,29.82772727,0.0,2,3,86.0,48,69,42,45,Spring,2,86,71,44,39,47,32,47,18,5.0,25.0,2020-03-29,0
89,3/30/2020,March,30,2020,82.30952381,49.85714286,35.9047619,6.880952381,0.008432517,29.79214286,0.0,1,3,81.0,43,64,37,40,Spring,2,81,69,42,37,46,29,48,15,13.0,33.0,2020-03-30,0
90,3/31/2020,March,31,2020,79.93333333,61.22222222,55.66666667,10.62222222,0.008432517,29.78733333,0.0,2,3,83.0,45,66,39,42,Spring,2,83,69,42,37,46,28,47,14,4.0,24.0,2020-03-31,0
91,4/1/2020,April,1,2020,80.88372093,63.27906977,57.23255814,11.0,0.008432517,29.81697674,0.0,3,4,84.0,46,67,40,43,Spring,2,84,70,43,38,46,27,48,13,12.958753437213566,7.0,2020-04-01,0
92,4/2/2020,April,2,2020,83.55813953,57.11627907,43.55813953,5.348837209,0.008432517,29.79116279,0.0,1,4,82.0,44,65,38,41,Spring,2,82,70,43,38,46,29,48,15,17.0,34.0,2020-04-02,0
93,4/3/2020,April,3,2020,86.61904762,51.42857143,34.19047619,7.404761905,0.008432517,29.78642857,0.0,1,4,83.0,45,66,39,42,Spring,2,83,69,42,37,46,32,47,18,26.0,43.0,2020-04-03,0
94,4/4/2020,April,4,2020,86.48780488,50.24390244,31.73170732,5.975609756,0.008432517,29.79243902,0.0,2,4,81.0,43,64,37,40,Spring,2,81,69,42,37,46,31,47,17,15.0,32.0,2020-04-04,0
95,4/5/2020,April,5,2020,83.06666667,61.97777778,51.57777778,5.822222222,0.008432517,29.80066667,0.0,1,4,81.0,43,64,37,40,Spring,2,81,70,43,38,46,30,48,16,16.0,33.0,2020-04-05,0
96,4/6/2020,April,6,2020,82.02083333,63.54166667,58.47916667,6.625,0.008432517,29.789375,0.0,1,4,84.0,46,67,40,43,Spring,2,84,71,44,39,47,30,47,16,8.0,25.0,2020-04-06,0
97,4/7/2020,April,7,2020,82.6744186,65.46511628,59.86046512,8.558139535,0.008432517,29.72976744,0.0,3,4,83.0,45,66,39,42,Spring,2,83,70,43,38,46,29,47,15,1.0,18.0,2020-04-07,0
98,4/8/2020,April,8,2020,81.8,66.17777778,61.44444444,4.666666667,0.008432517,29.776,0.0,3,4,84.0,46,67,40,43,Spring,2,84,70,43,38,46,32,47,18,5.0,22.0,2020-04-08,0
99,4/9/2020,April,9,2020,81.68888889,66.57777778,62.33333333,6.866666667,0.008432517,29.12755556,0.0,1,4,82.0,44,65,38,41,Spring,2,82,71,44,39,47,32,48,18,49.0,66.0,2020-04-09,0
100,4/10/2020,April,10,2020,82.91304348,65.15217391,59.19565217,6.195652174,0.008432517,29.80021739,0.0,2,4,84.0,46,67,40,43,Spring,2,84,69,42,37,46,29,49,15,6.0,23.0,2020-04-10,0
101,4/11/2020,April,11,2020,86.95454545,53.72727273,39.77272727,4.136363636,0.008432517,29.84909091,0.0,2,4,82.0,44,65,38,41,Spring,2,82,71,44,39,47,27,48,13,12.958753437213566,29.958753437213566,2020-04-11,0
102,4/12/2020,April,12,2020,84.39534884,48.58139535,31.37209302,7.279069767,0.008432517,29.81860465,0.0,1,4,85.0,47,68,41,44,Spring,2,85,72,45,40,48,28,47,14,8.0,25.0,2020-04-12,0
103,4/13/2020,April,13,2020,85.80952381,57.38095238,43.02380952,10.54761905,0.008432517,29.76857143,0.0,1,4,81.0,43,64,37,40,Spring,2,81,71,44,39,47,32,48,18,25.0,42.0,2020-04-13,0
104,4/14/2020,April,14,2020,83.42857143,67.28571429,60.66666667,12.23809524,0.008432517,29.75857143,0.0,3,4,84.0,46,67,40,43,Spring,2,84,69,42,37,46,29,47,15,12.0,29.0,2020-04-14,0
105,4/15/2020,April,15,2020,84.80952381,70.04761905,63.21428571,9.30952381,0.008432517,29.77142857,0.0,3,4,80.0,42,63,36,39,Spring,2,80,69,42,37,46,28,49,14,13.0,30.0,2020-04-15,0
106,4/16/2020,April,16,2020,83.93181818,69.29545455,62.84090909,8.772727273,0.008432517,29.04522727,0.0,3,4,83.0,45,66,39,42,Spring,2,83,70,43,38,46,30,47,16,12.0,29.0,2020-04-16,0
107,4/17/2020,April,17,2020,86.68421053,61.63157895,48.34210526,7.789473684,0.008432517,29.69710526,0.0,1,4,85.0,47,68,41,44,Spring,2,85,73,46,41,48,29,47,15,13.0,30.0,2020-04-17,0
108,4/18/2020,April,18,2020,84.88888889,68.04444444,58.77777778,9.066666667,0.008432517,29.75466667,0.0,1,4,80.0,42,63,36,39,Spring,2,80,69,42,37,46,32,47,18,19.0,36.0,2020-04-18,0
109,4/19/2020,April,19,2020,85.18918919,66.05405405,55.67567568,10.78378378,0.008432517,29.73621622,0.0,1,4,81.0,43,64,37,40,Spring,2,81,70,43,38,46,31,48,17,21.0,38.0,2020-04-19,0
110,4/20/2020,April,20,2020,84.2,69.88888889,63.31111111,7.4,0.008432517,29.71466667,0.0,2,4,81.0,43,64,37,40,Spring,2,81,70,43,38,46,28,50,14,18.0,35.0,2020-04-20,0
111,4/21/2020,April,21,2020,85.29545455,72.13636364,66.31818182,6.5,0.008432517,29.73227273,0.0,1,4,81.0,43,64,37,40,Spring,2,81,70,43,38,46,31,48,17,15.0,32.0,2020-04-21,0
112,4/22/2020,April,22,2020,87.75,68.15909091,57.0,12.20454545,0.008432517,29.67840909,0.0,1,4,82.0,44,65,38,41,Spring,2,82,70,43,38,46,28,48,14,9.0,26.0,2020-04-22,0
113,4/23/2020,April,23,2020,84.55555556,67.05555556,55.80555556,11.22222222,0.008432517,29.66666667,0.0,1,4,83.0,45,66,39,42,Spring,2,83,72,45,40,48,28,47,14,10.0,27.0,2020-04-23,0
114,4/24/2020,April,24,2020,85.92307692,67.48717949,54.82051282,15.12820513,0.008432517,29.61769231,0.0,7,4,84.0,46,67,40,43,Spring,2,84,71,44,39,47,29,47,15,21.0,38.0,2020-04-24,0
115,4/25/2020,April,25,2020,85.775,69.1,58.575,10.875,0.008432517,29.633,0.0,3,4,81.0,43,64,37,40,Spring,2,81,71,44,39,47,33,48,19,21.0,38.0,2020-04-25,1
116,4/26/2020,April,26,2020,85.51162791,72.97674419,67.55813953,9.976744186,0.008432517,29.66837209,0.0,2,4,82.0,44,65,38,41,Spring,2,82,70,43,38,46,27,48,13,26.0,43.0,2020-04-26,0
117,4/27/2020,April,27,2020,85.76923077,72.51282051,67.1025641,10.92307692,0.008432517,29.72153846,0.0,1,4,80.0,42,63,36,39,Spring,2,80,74,47,42,49,31,47,17,-2.0,15.0,2020-04-27,0
118,4/28/2020,April,28,2020,85.95,71.05,63.775,9.675,0.008432517,28.9995,0.0,2,4,84.0,46,67,40,43,Spring,2,84,71,44,39,47,27,49,13,11.0,28.0,2020-04-28,0
119,4/29/2020,April,29,2020,86.59090909,68.59090909,59.02272727,7.181818182,0.008432517,29.7275,0.0,4,4,80.0,42,63,36,39,Spring,2,80,60,33,28,40,35,49,21,16.0,33.0,2020-04-29,0
120,4/30/2020,April,30,2020,86.90243902,70.09756098,61.51219512,7.634146341,0.008432517,29.73682927,0.0,2,4,82.0,44,65,38,41,Spring,2,82,59,32,27,39,28,48,14,12.958753437213566,11.0,2020-04-30,0
121,5/1/2020,May,1,2020,87.08888889,68.04444444,55.75555556,12.22222222,0.008432517,29.71466667,0.0,2,5,82.0,44,65,38,41,Spring,2,65,60,50,22,120,30,47,16,35.0,48.0,2020-05-01,1
122,5/2/2020,May,2,2020,86.93478261,73.06521739,64.04347826,13.13043478,0.008432517,29.66130435,0.0,2,5,83.0,45,66,39,42,Spring,2,66,62,52,24,124,28,50,14,6.0,19.0,2020-05-02,0
123,5/3/2020,May,3,2020,87.11904762,73.07142857,64.9047619,12.95238095,0.008432517,29.64714286,0.0,3,5,84.0,46,67,40,43,Spring,2,67,59,49,21,118,31,48,17,23.0,36.0,2020-05-03,0
