M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind,Pressure,IntCondition,Year,Month,Day,datum,Ro6Classification,N02BEClassification,M01ABClassification,M01AEClassification,N02BAClassification,N05BClassification,R03Classification
7,7,6,45,14,0,13,5,67.21739130434783,26.347826086956523,26.869565217391305,6.565217391304348,136.2173913043478,29.95913043478261,1.0,2014,2,18,2014-02-18,1,1,1,1,1,1,1
3,5,5,66,17,1,6,1,67.5909090909091,50.45454545454545,54.90909090909091,9.363636363636363,212.9090909090909,29.865,1.4090909090909092,2014,2,19,2014-02-19,0,1,0,1,1,1,1
6,6,3,21,14,1,8,1,66.95238095238095,51.61904761904762,59.38095238095238,8.904761904761905,148.0952380952381,28.40904761904762,1.0,2014,2,20,2014-02-20,0,0,1,1,0,1,1
6,4,8,20,16,0,0,0,70.47619047619048,50.142857142857146,54.61904761904762,6.714285714285714,142.76190476190476,29.843333333333334,1.0,2014,2,21,2014-02-21,0,0,1,1,1,1,0
7,3,6,26,12,0,1,0,70.82608695652173,35.34782608695652,37.56521739130435,11.434782608695652,55.95652173913044,29.931739130434785,1.0,2014,2,22,2014-02-22,0,0,1,0,1,1,0
1,3,2,21,10,0,0,0,68.45,34.5,31.45,10.65,37.25,29.9935,1.25,2014,2,23,2014-02-23,0,0,0,0,0,1,0
7,4,5,26,4,0,0,3,71.25,33.458333333333336,27.125,18.291666666666668,32.166666666666664,29.97,3.333333333333333,2014,2,24,2014-02-24,1,0,1,1,1,0,0
5,1,11,35,13,0,0,2,71.63636363636364,34.45454545454545,29.818181818181817,8.454545454545455,124.95454545454544,28.57227272727273,1.8636363636363635,2014,2,25,2014-02-25,0,1,1,0,1,1,0
4,4,1,22,4,0,12,1,69.19047619047619,44.333333333333336,44.57142857142857,6.571428571428571,133.04761904761904,29.87761904761905,1.0,2014,2,26,2014-02-26,0,0,0,1,0,0,1
3,6,4,33,8,1,2,1,73.08695652173913,35.30434782608695,36.73913043478261,11.043478260869565,189.0434782608696,29.83,1.0869565217391304,2014,2,27,2014-02-27,0,1,0,1,1,0,0
7,8,6,37,12,1,2,0,68.66666666666667,43.25,41.75,6.916666666666667,133.29166666666666,28.61208333333333,1.625,2014,2,28,2014-02-28,0,1,1,1,1,1,0
6,3,11,50,8,0,0,2,68.16666666666667,43.16666666666666,46.958333333333336,7.291666666666667,135.25,29.89125,1.0,2014,3,1,2014-03-01,0,1,1,0,1,0,0
3,1,2,6,2,0,0,1,70.26086956521739,58.26086956521739,66.78260869565217,9.043478260869565,175.43478260869566,29.89565217391305,3.130434782608696,2014,3,2,2014-03-02,0,0,0,0,0,0,0
4,3,1,21,1,2,0,2,70.47826086956522,58.82608695652174,69.1304347826087,7.521739130434782,149.82608695652175,29.889565217391304,4.304347826086956,2014,3,3,2014-03-03,0,0,0,0,0,0,0
5,6,7,47,9,0,5,4,71.82608695652173,58.130434782608695,64.91304347826087,10.565217391304348,74.65217391304348,29.92391304347826,3.608695652173913,2014,3,4,2014-03-04,1,1,1,1,1,1,1
2,1,3,24,4,0,1,0,71.22727272727273,54.45454545454545,58.13636363636363,8.181818181818182,176.1818181818182,29.93590909090909,1.318181818181818,2014,3,5,2014-03-05,0,0,0,0,0,0,0
3,2,5,44,17,1,5,1,74.26086956521739,54.391304347826086,53.82608695652174,7.6521739130434785,125.52173913043478,29.910434782608696,1.0,2014,3,6,2014-03-06,0,1,0,0,1,1,1
4,4,9,25,3,1,0,2,76.73913043478261,50.0,44.21739130434783,7.086956521739131,123.47826086956522,28.6108695652174,1.0,2014,3,7,2014-03-07,0,0,0,1,1,0,0
4,3,1,27,11,0,0,0,78.9047619047619,45.47619047619048,35.523809523809526,7.904761904761905,146.04761904761904,29.922857142857143,1.0,2014,3,8,2014-03-08,0,1,0,0,0,1,0
1,0,4,11,3,0,5,0,76.56521739130434,47.91304347826087,38.04347826086956,6.565217391304348,141.17391304347825,29.880434782608692,1.0,2014,3,9,2014-03-09,0,0,0,0,1,0,1
6,4,3,46,10,0,0,2,76.22727272727273,58.0,55.54545454545455,9.318181818181818,216.0,29.815,1.0,2014,3,10,2014-03-10,0,1,1,1,0,1,0
6,5,7,31,12,1,1,5,74.52173913043478,31.73913043478261,26.47826086956522,9.0,181.17391304347825,29.844782608695656,1.6521739130434785,2014,3,11,2014-03-11,1,1,1,1,1,1,0
6,2,6,20,22,3,2,2,75.33333333333333,21.904761904761905,17.61904761904762,15.238095238095235,58.095238095238095,29.934285714285718,1.2857142857142858,2014,3,12,2014-03-12,0,0,1,0,1,1,0
2,3,5,15,10,0,26,2,76.56521739130434,27.30434782608696,21.217391304347824,13.695652173913045,39.391304347826086,29.952608695652174,1.1304347826086956,2014,3,13,2014-03-13,0,0,0,0,1,1,1
4,1,1,16,11,0,1,2,78.68181818181819,36.72727272727273,24.181818181818183,7.454545454545454,124.0,29.88863636363636,1.9545454545454544,2014,3,14,2014-03-14,0,0,0,0,0,1,0
4,2,11,23,18,1,6,2,79.43478260869566,36.69565217391305,23.82608695652174,7.260869565217392,179.2608695652174,29.880434782608692,2.9565217391304346,2014,3,15,2014-03-15,0,0,0,0,1,1,1
2,2,1,13,6,0,0,4,80.08695652173913,49.26086956521739,35.04347826086956,10.521739130434783,215.43478260869568,29.90826086956522,3.565217391304348,2014,3,16,2014-03-16,1,0,0,0,0,0,0
8,3,6,36,6,1,0,1,79.26315789473684,56.47368421052632,47.05263157894737,13.263157894736842,257.2631578947368,29.87842105263158,2.210526315789474,2014,3,17,2014-03-17,0,1,1,0,1,0,0
8,4,5,20,9,0,0,4,77.6086956521739,47.04347826086956,40.47826086956522,8.08695652173913,192.95652173913044,29.89782608695652,1.6956521739130437,2014,3,18,2014-03-18,1,0,1,1,1,1,0
4,3,4,21,2,0,0,2,78.0,37.16666666666666,25.416666666666668,8.041666666666666,150.20833333333334,29.885416666666668,1.0,2014,3,19,2014-03-19,0,0,0,0,1,0,0
3,5,1,38,5,0,7,4,75.0,52.47826086956522,49.73913043478261,8.73913043478261,213.6086956521739,28.499565217391304,2.0434782608695654,2014,3,20,2014-03-20,1,1,0,1,0,0,1
6,3,5,40,4,0,2,1,76.20833333333333,63.708333333333336,66.125,13.333333333333334,261.7083333333333,28.471666666666668,1.7916666666666667,2014,3,21,2014-03-21,0,1,1,0,1,0,0
3,2,0,26,10,2,18,8,79.04545454545455,65.31818181818181,64.95454545454545,9.5,231.3636363636364,29.679090909090917,3.0454545454545454,2014,3,22,2014-03-22,1,0,0,0,0,1,1
6,2,4,19,0,1,0,3,74.30434782608695,59.47826086956522,59.391304347826086,7.6521739130434785,184.17391304347825,29.72391304347826,2.3043478260869565,2014,3,23,2014-03-23,1,0,1,0,1,0,0
5,1,4,23,7,0,6,3,78.29166666666667,59.66666666666666,55.125,10.0,141.0,29.7925,3.625,2014,3,24,2014-03-24,1,0,1,0,1,0,1
3,1,9,36,6,0,1,1,74.95652173913044,52.82608695652174,48.34782608695652,9.08695652173913,217.5217391304348,29.82782608695652,2.4782608695652173,2014,3,25,2014-03-25,0,1,0,0,1,0,0
2,4,9,6,7,3,3,0,80.04166666666667,46.333333333333336,32.333333333333336,8.875,175.58333333333334,29.8075,4.416666666666667,2014,3,26,2014-03-26,0,0,0,1,1,0,0
4,0,2,20,6,1,1,5,82.21739130434783,46.78260869565217,29.347826086956523,7.173913043478261,209.69565217391303,28.51391304347826,4.695652173913044,2014,3,27,2014-03-27,1,0,0,0,0,0,0
2,2,8,11,3,0,9,5,77.79166666666667,57.083333333333336,49.875,8.666666666666666,222.5,29.815,4.375,2014,3,28,2014-03-28,1,0,0,0,1,0,1
4,6,4,24,8,2,9,3,78.82608695652173,58.21739130434783,52.0,9.434782608695652,193.95652173913044,29.83347826086956,1.7826086956521738,2014,3,29,2014-03-29,1,0,0,1,1,0,1
3,2,0,12,4,0,0,7,80.04166666666667,60.0,53.333333333333336,8.291666666666666,223.33333333333331,27.32708333333333,2.4166666666666665,2014,3,30,2014-03-30,1,0,0,0,0,0,0
5,2,4,15,6,1,4,6,80.41666666666667,58.25,50.208333333333336,10.666666666666666,273.0833333333333,29.7575,1.25,2014,3,31,2014-03-31,1,0,1,0,1,0,1
4,1,6,27,5,3,3,1,80.04347826086956,63.82608695652174,60.69565217391305,14.043478260869565,260.39130434782606,28.43565217391304,2.0869565217391304,2014,4,1,2014-04-01,0,1,0,0,1,0,0
2,4,8,23,1,0,7,3,79.5,68.25,70.41666666666667,10.083333333333334,245.04166666666663,28.46291666666667,3.083333333333333,2014,4,2,2014-04-02,1,0,0,1,1,0,1
1,1,3,19,4,0,0,4,80.19047619047619,67.42857142857143,66.57142857142857,7.666666666666667,232.7142857142857,29.755714285714287,2.142857142857143,2014,4,3,2014-04-03,1,0,0,0,0,0,0
3,3,3,24,9,3,8,2,81.125,65.20833333333333,61.375,10.333333333333334,272.2083333333333,29.78,2.333333333333333,2014,4,4,2014-04-04,0,0,0,0,0,1,1
1,7,7,20,5,0,5,3,79.04347826086956,67.8695652173913,69.6086956521739,10.652173913043478,264.3478260869565,29.76043478260869,3.0869565217391304,2014,4,5,2014-04-05,1,0,0,1,1,0,1
2,1,1,19,1,0,0,1,83.9,63.9,54.5,13.8,272.6,29.75,3.55,2014,4,6,2014-04-06,0,0,0,0,0,0,0
6,6,6,32,4,0,0,1,82.875,41.29166666666666,31.791666666666668,9.375,178.25,29.83125,3.333333333333333,2014,4,7,2014-04-07,0,1,1,1,1,0,0
4,2,1,19,6,1,0,4,80.16666666666667,49.375,36.625,9.166666666666666,192.33333333333331,29.8175,3.375,2014,4,8,2014-04-08,1,0,0,0,0,0,0
6,0,1,18,2,1,2,3,74.91666666666667,57.333333333333336,55.29166666666666,8.041666666666666,209.375,29.7975,2.0416666666666665,2014,4,9,2014-04-09,1,0,1,0,0,0,0
3,2,1,18,10,0,4,4,80.1304347826087,63.91304347826087,60.78260869565217,8.565217391304348,230.2608695652174,29.804782608695653,2.347826086956522,2014,4,10,2014-04-10,1,0,0,0,0,1,1
6,4,3,25,2,2,0,2,82.61904761904762,60.76190476190476,49.95238095238095,12.047619047619047,274.57142857142856,28.35761904761905,1.0,2014,4,11,2014-04-11,0,0,1,1,0,0,0
6,3,6,23,17,0,11,4,80.1304347826087,66.56521739130434,64.1304347826087,11.565217391304348,255.5217391304348,29.71608695652174,1.2608695652173914,2014,4,12,2014-04-12,1,0,1,0,1,1,1
3,2,2,6,3,0,5,2,80.79166666666667,68.16666666666667,66.75,11.75,263.75,29.6925,2.125,2014,4,13,2014-04-13,0,0,0,0,0,0,1
1,4,5,28,10,0,5,5,82.125,70.25,68.08333333333333,8.5,233.66666666666663,28.496666666666663,3.5,2014,4,14,2014-04-14,1,1,0,1,1,1,1
4,3,6,18,12,0,10,1,83.91666666666667,70.625,65.625,8.166666666666666,241.16666666666663,29.77625,3.75,2014,4,15,2014-04-15,0,0,0,0,1,1,1
2,0,4,25,1,0,6,4,83.54545454545455,70.27272727272727,65.13636363636364,10.909090909090908,272.3181818181818,29.722727272727276,2.363636363636364,2014,4,16,2014-04-16,1,0,0,0,1,0,1
5,0,7,16,19,0,0,0,82.16666666666667,71.0,69.08333333333333,10.083333333333334,254.33333333333331,28.402916666666663,2.75,2014,4,17,2014-04-17,0,0,1,0,1,1,0
7,7,6,17,10,1,0,3,83.77272727272727,71.54545454545455,67.63636363636364,9.181818181818182,201.6818181818182,29.71454545454545,5.363636363636363,2014,4,18,2014-04-18,1,0,1,1,1,1,0
7,3,4,22,7,0,3,5,84.5,69.95833333333333,62.79166666666666,8.75,214.04166666666663,29.75625,1.9583333333333333,2014,4,19,2014-04-19,1,0,1,0,1,0,0
0,0,0,0,0,0,0,0,85.78260869565217,67.78260869565217,59.52173913043478,12.217391304347826,201.7826086956522,29.74086956521739,3.391304347826087,2014,4,20,2014-04-20,0,0,0,0,0,0,0
1,2,2,13,8,0,0,1,86.08333333333333,51.91666666666666,31.625,8.083333333333334,127.75,29.745,3.7083333333333335,2014,4,21,2014-04-21,0,0,0,0,0,0,0
5,7,3,32,8,1,0,1,85.625,55.833333333333336,36.66666666666666,8.333333333333334,192.5,28.60125,1.375,2014,4,22,2014-04-22,0,1,1,1,0,0,0
6,2,3,24,8,1,2,1,88.04545454545455,55.04545454545455,35.54545454545455,10.090909090909092,262.1818181818182,29.812727272727276,1.9545454545454544,2014,4,23,2014-04-23,0,0,1,0,0,0,0
2,2,1,26,6,0,6,2,84.125,68.95833333333333,61.958333333333336,13.208333333333334,274.0833333333333,29.725,1.7916666666666667,2014,4,24,2014-04-24,0,0,0,0,0,0,1
3,1,5,25,10,1,1,3,84.79166666666667,72.25,67.25,11.625,268.4583333333333,29.70375,3.125,2014,4,25,2014-04-25,1,0,0,0,1,1,0
1,2,5,35,11,1,0,4,88.6,64.7,49.5,8.45,256.7,26.742,2.85,2014,4,26,2014-04-26,1,1,0,0,1,1,0
4,2,2,26,2,0,1,1,89.16666666666667,66.875,50.75,9.166666666666666,259.0416666666667,29.72125,1.375,2014,4,27,2014-04-27,0,0,0,0,0,0,0
1,2,3,29,8,2,0,2,91.5,62.16666666666666,44.333333333333336,11.458333333333334,280.5416666666667,29.7025,1.0,2014,4,28,2014-04-28,0,1,0,0,0,0,0
3,2,4,24,6,1,5,0,88.04347826086956,65.21739130434783,49.60869565217392,11.217391304347826,264.3478260869565,29.65869565217391,1.3478260869565215,2014,4,29,2014-04-29,0,0,0,0,1,0,1
4,2,7,42,11,0,7,4,85.95652173913044,72.04347826086956,64.21739130434783,11.217391304347826,267.17391304347825,29.648260869565217,2.347826086956522,2014,4,30,2014-04-30,1,1,0,0,1,1,1
0,0,0,0,0,0,0,0,85.82608695652173,72.6086956521739,62.130434782608695,13.26086956521739,271.17391304347825,29.63913043478261,1.7391304347826086,2014,5,1,2014-05-01,0,0,0,0,0,0,0
7,7,6,39,16,1,12,2,85.43478260869566,73.52173913043478,68.8695652173913,13.869565217391305,268.30434782608694,29.59478260869565,3.0434782608695654,2014,5,2,2014-05-02,0,1,1,1,1,1,1
4,5,2,15,5,2,0,2,85.8695652173913,74.30434782608695,69.34782608695652,11.652173913043478,268.2608695652174,29.580434782608695,4.217391304347826,2014,5,3,2014-05-03,0,0,0,1,0,0,0
1,4,1,20,3,0,0,3,86.29166666666667,71.54166666666667,63.708333333333336,10.125,162.41666666666666,25.8875,3.5,2014,5,4,2014-05-04,1,0,0,1,0,0,0
3,6,5,20,7,0,3,4,87.25,64.16666666666667,46.54166666666666,10.541666666666666,203.625,29.63875,3.2916666666666665,2014,5,5,2014-05-05,1,0,0,1,1,0,0
7,4,4,22,10,2,6,5,89.91666666666667,67.66666666666667,49.875,10.875,268.3333333333333,28.454166666666666,1.375,2014,5,6,2014-05-06,1,0,1,1,1,1,1
3,5,3,16,8,1,3,11,89.43478260869566,64.56521739130434,46.08695652173913,10.695652173913045,274.1304347826087,29.66652173913044,1.0,2014,5,7,2014-05-07,1,0,0,1,0,0,0
1,2,1,19,6,1,0,5,90.26666666666668,65.66666666666667,45.86666666666667,14.8,265.6666666666667,29.638,1.1333333333333333,2014,5,8,2014-05-08,1,0,0,0,0,0,0
2,4,4,14,12,2,1,2,88.80952380952381,67.66666666666667,53.42857142857143,13.61904761904762,270.2857142857143,29.56142857142857,1.2857142857142858,2014,5,9,2014-05-09,0,0,0,1,1,1,0
5,6,9,39,15,3,1,5,87.76190476190476,72.9047619047619,62.38095238095238,11.952380952380953,244.6190476190476,29.514285714285712,1.1904761904761905,2014,5,10,2014-05-10,1,1,1,1,1,1,0
2,3,1,17,7,0,1,4,86.375,73.70833333333333,66.66666666666667,14.041666666666666,249.66666666666663,29.62,4.5,2014,5,11,2014-05-11,1,0,0,0,0,0,0
4,3,9,12,8,0,5,2,85.79166666666667,72.29166666666667,64.625,19.08333333333333,246.04166666666663,28.417916666666667,7.5,2014,5,12,2014-05-12,0,0,0,0,1,0,1
3,0,6,32,7,0,25,7,85.875,73.0,66.04166666666667,19.375,248.91666666666663,29.6425,5.333333333333333,2014,5,13,2014-05-13,1,1,0,0,1,0,1
1,2,5,22,3,0,0,3,85.0,71.82608695652173,65.52173913043478,15.130434782608695,217.4782608695652,28.376956521739128,4.521739130434782,2014,5,14,2014-05-14,1,0,0,0,1,0,0
2,1,3,19,7,0,1,2,84.33333333333333,70.79166666666667,64.33333333333333,12.083333333333334,206.54166666666663,29.6625,4.208333333333333,2014,5,15,2014-05-15,0,0,0,0,0,0,0
5,7,3,22,10,1,11,1,86.29166666666667,73.04166666666667,65.0,11.958333333333334,243.125,29.62625,4.375,2014,5,16,2014-05-16,0,0,1,1,0,1,1
2,7,3,35,14,1,0,2,86.82608695652173,68.1304347826087,56.17391304347826,10.173913043478262,237.1304347826087,29.68869565217392,3.4782608695652173,2014,5,17,2014-05-17,0,1,0,1,0,1,0
3,2,5,9,6,0,0,1,85.45833333333333,68.25,57.5,10.75,244.08333333333331,29.73,1.6666666666666667,2014,5,18,2014-05-18,0,0,0,0,1,0,0
8,3,6,12,5,0,3,9,87.29166666666667,67.08333333333333,52.708333333333336,9.875,263.6666666666667,29.73625,1.0,2014,5,19,2014-05-19,1,0,1,0,1,0,0
1,2,7,27,10,1,0,4,87.16666666666667,70.75,59.54166666666666,13.166666666666666,263.5833333333333,29.705,1.25,2014,5,20,2014-05-20,1,1,0,0,1,1,0
2,4,9,15,6,1,0,3,88.3913043478261,72.47826086956522,60.869565217391305,13.391304347826088,267.2173913043478,27.07434782608696,1.565217391304348,2014,5,21,2014-05-21,1,0,0,1,1,0,0
3,1,1,8,8,0,2,4,87.79166666666667,71.25,59.25,14.333333333333334,261.75,29.5925,1.0833333333333333,2014,5,22,2014-05-22,1,0,0,0,0,0,0
5,2,4,17,8,2,10,7,88.04166666666667,73.54166666666667,63.16666666666666,13.916666666666666,257.1666666666667,29.5325,1.0833333333333333,2014,5,23,2014-05-23,1,0,1,0,1,0,1
3,4,5,28,11,1,0,9,88.54545454545455,75.5909090909091,66.77272727272727,10.181818181818182,247.77272727272728,28.219090909090912,1.0,2014,5,24,2014-05-24,1,1,0,1,1,1,0
2,3,1,7,8,0,5,1,88.5,75.75,67.08333333333333,8.416666666666666,250.41666666666663,29.59375,1.125,2014,5,25,2014-05-25,0,0,0,0,0,0,1
2,3,7,18,7,1,0,5,88.41666666666667,74.66666666666667,65.875,7.291666666666667,245.83333333333331,29.617500000000003,2.0,2014,5,26,2014-05-26,1,0,0,0,1,0,0
0,2,5,29,12,1,1,6,89.04166666666667,73.0,62.375,10.708333333333334,275.9166666666667,29.62375,1.3333333333333333,2014,5,27,2014-05-27,1,1,0,0,1,1,0
