,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Day,Temperature,Dew Point,Humidity,Wind,Wind Speed,Pressure,IntCondition
25,2014-01-03,0,0,1,1,0,0,0,0,2014,1,9,3,54.0,10.0,18.0,68,5.0,30.1,1
26,2014-01-03,1,2,0,4,2,0,0,0,2014,1,10,3,59.0,9.0,14.0,45,13.0,30.1,1
27,2014-01-03,4,0,1,8,4,0,0,0,2014,1,11,3,66.0,9.0,11.0,68,6.0,30.1,1
28,2014-01-03,0,0,0,10,4,0,10,1,2014,1,12,3,68.0,12.0,12.0,68,8.0,30.07,1
29,2014-01-03,1,1,0,3,2,0,0,0,2014,1,13,3,72.0,16.0,12.0,68,9.0,30.01,1
30,2014-01-03,0,0,0,3,0,0,1,0,2014,1,14,3,72.0,21.0,15.0,270,7.0,29.98,1
31,2014-01-03,1,0,0,3,0,0,6,2,2014,1,15,3,73.0,27.0,18.0,270,10.0,29.95,1
32,2014-01-03,0,1,0,4,0,0,2,0,2014,1,16,3,73.0,28.0,19.0,270,9.0,29.92,1
33,2014-01-03,1,0,1,4,1,0,0,1,2014,1,17,3,72.0,30.0,22.0,293,12.0,29.92,1
34,2014-01-03,0,0,1,0,2,0,0,0,2014,1,18,3,70.0,30.0,23.0,293,13.0,29.92,1
35,2014-01-03,0,0,0,1,0,0,1,0,2014,1,19,3,66.0,36.0,32.0,293,9.0,29.95,1
36,2014-01-03,0,0,0,8,0,0,0,0,2014,1,20,3,64.0,43.0,45.0,270,9.0,29.95,1
37,2014-01-03,0,0,0,0,0,0,0,0,2014,1,21,3,63.0,43.0,48.0,225,5.0,29.98,1
38,2014-01-03,0,0,0,0,0,0,0,0,2014,1,22,3,59.0,43.0,55.0,23,6.0,29.98,1
39,2014-01-03,0,0,0,0,0,0,0,0,2014,1,23,3,54.0,41.0,62.0,68,5.0,29.95,1
40,2014-01-04,0,0,0,0,0,0,0,0,2014,1,0,4,54.0,41.0,62.0,90,5.0,29.95,1
41,2014-01-04,0,0,0,0,0,0,0,0,2014,1,1,4,52.0,37.0,58.0,68,5.0,29.92,1
42,2014-01-04,0,0,0,0,0,0,0,0,2014,1,2,4,50.0,37.0,62.0,45,5.0,29.92,1
43,2014-01-04,0,0,0,0,0,0,0,0,2014,1,3,4,50.0,36.0,58.0,45,5.0,29.92,1
44,2014-01-04,0,0,0,0,0,0,0,0,2014,1,4,4,48.0,36.0,62.0,23,5.0,29.89,1
45,2014-01-04,0,0,0,0,0,0,0,0,2014,1,5,4,48.0,36.0,62.0,45,5.0,29.89,1
47,2014-01-04,0,0,0,0,0,0,0,0,2014,1,7,4,46.0,37.0,71.0,0,0.0,29.92,1
48,2014-01-04,1,0,0,0,0,0,0,0,2014,1,8,4,46.0,39.0,76.0,0,5.0,29.95,1
49,2014-01-04,0,0,0,9,0,0,0,0,2014,1,9,4,54.0,41.0,62.0,0,3.0,29.98,1
50,2014-01-04,0,0,1,9,3,0,5,0,2014,1,10,4,63.0,46.0,55.0,68,6.0,29.98,1
51,2014-01-04,1,0,2,5,0,0,0,0,2014,1,11,4,68.0,46.0,46.0,0,3.0,0.0,1
52,2014-01-04,0,0,0,2,0,0,0,0,2014,1,12,4,75.0,37.0,25.0,270,6.0,29.95,1
53,2014-01-04,0,0,0,3,1,0,0,0,2014,1,13,4,75.0,30.0,19.0,315,9.0,29.92,1
54,2014-01-04,0,1,0,6,2,0,0,0,2014,1,14,4,77.0,27.0,16.0,315,14.0,29.89,1
55,2014-01-04,0,0,0,1,0,0,0,0,2014,1,15,4,79.0,28.0,16.0,338,6.0,29.87,1
56,2014-01-04,0,0,0,6,0,0,0,0,2014,1,16,4,79.0,27.0,15.0,0,3.0,29.87,1
58,2014-01-04,0,0,0,10,0,0,0,0,2014,1,18,4,73.0,39.0,29.0,180,6.0,29.87,1
59,2014-01-04,0,0,3,9,0,0,4,1,2014,1,19,4,70.0,43.0,38.0,203,3.0,29.89,1
60,2014-01-04,0,0,0,1,3,0,0,0,2014,1,20,4,66.0,43.0,43.0,270,5.0,29.89,1
61,2014-01-04,0,0,0,0,0,0,0,0,2014,1,21,4,64.0,34.0,32.0,45,9.0,29.92,1
62,2014-01-04,0,0,0,0,0,0,0,0,2014,1,22,4,64.0,39.0,40.0,0,0.0,29.92,1
63,2014-01-04,0,0,0,0,0,0,0,0,2014,1,23,4,57.0,41.0,55.0,23,13.0,29.92,1
64,2014-01-05,0,0,0,0,0,0,0,0,2014,1,0,5,57.0,36.0,44.0,23,7.0,29.92,1
65,2014-01-05,0,0,0,0,0,0,0,0,2014,1,1,5,55.0,34.0,44.0,45,5.0,29.92,1
66,2014-01-05,0,0,0,0,0,0,0,0,2014,1,2,5,54.0,34.0,47.0,0,3.0,29.89,1
67,2014-01-05,0,0,0,0,0,0,0,0,2014,1,3,5,52.0,0.0,47.0,0,2.0,29.89,1
68,2014-01-05,0,0,0,0,0,0,0,0,2014,1,4,5,50.0,0.0,50.0,0,5.0,29.89,1
69,2014-01-05,0,0,0,0,0,0,0,0,2014,1,5,5,48.0,30.0,50.0,0,6.0,29.89,1
70,2014-01-05,0,0,0,0,0,0,0,0,2014,1,6,5,46.0,28.0,50.0,0,5.0,29.89,1
71,2014-01-05,0,0,0,0,0,0,0,0,2014,1,7,5,48.0,25.0,40.0,23,5.0,29.92,1
72,2014-01-05,1,0,1,3,0,0,0,0,2014,1,8,5,48.0,25.0,40.0,23,10.0,29.95,1
73,2014-01-05,0,0,1,5,2,0,0,0,2014,1,9,5,55.0,25.0,31.0,23,3.0,29.98,1
74,2014-01-05,0,0,0,4,0,0,0,0,2014,1,10,5,63.0,19.0,19.0,0,0.0,29.98,1
75,2014-01-05,0,0,0,4,1,0,3,0,2014,1,11,5,72.0,18.0,13.0,113,3.0,29.98,1
76,2014-01-05,1,2,2,13,3,0,0,0,2014,1,12,5,73.0,21.0,14.0,90,5.0,29.95,1
77,2014-01-05,2,1,3,12,2,0,0,0,2014,1,13,5,75.0,21.0,13.0,0,0.0,29.92,1
78,2014-01-05,0,0,0,0,0,0,0,0,2014,1,14,5,77.0,19.0,12.0,0,2.0,29.89,1
79,2014-01-05,0,0,0,0,0,0,0,0,2014,1,15,5,77.0,18.0,11.0,338,8.0,29.87,1
80,2014-01-05,0,0,0,0,0,0,0,0,2014,1,16,5,75.0,28.0,18.0,0,5.0,29.87,1
81,2014-01-05,0,0,0,0,0,0,0,0,2014,1,17,5,73.0,30.0,20.0,180,8.0,29.87,1
82,2014-01-05,0,0,0,0,0,0,0,0,2014,1,18,5,70.0,34.0,27.0,203,7.0,29.87,1
83,2014-01-05,0,0,0,0,0,0,0,0,2014,1,19,5,64.0,37.0,37.0,248,9.0,29.87,1
84,2014-01-05,0,0,0,0,0,0,0,0,2014,1,20,5,61.0,37.0,42.0,0,3.0,29.89,1
85,2014-01-05,0,0,0,0,0,0,0,0,2014,1,21,5,61.0,39.0,45.0,0,3.0,29.92,1
86,2014-01-05,0,0,0,0,0,0,0,0,2014,1,22,5,57.0,39.0,51.0,45,9.0,29.92,1
88,2014-01-06,0,0,0,0,0,0,0,0,2014,1,0,6,54.0,36.0,51.0,68,7.0,29.92,1
89,2014-01-06,0,0,0,0,0,0,0,0,2014,1,1,6,54.0,36.0,51.0,45,5.0,0.0,1
90,2014-01-06,0,0,0,0,0,0,0,0,2014,1,2,6,50.0,36.0,58.0,0,5.0,0.0,1
91,2014-01-06,0,0,0,0,0,0,0,0,2014,1,3,6,50.0,34.0,54.0,0,7.0,0.0,1
92,2014-01-06,0,0,0,0,0,0,0,0,2014,1,4,6,0.0,0.0,0.0,45,12.0,0.0,1
95,2014-01-06,0,0,0,0,0,0,0,0,2014,1,7,6,46.0,28.0,50.0,0,7.0,29.92,1
96,2014-01-06,0,0,0,1,1,0,0,0,2014,1,8,6,46.0,28.0,50.0,0,7.0,29.95,1
97,2014-01-06,0,0,2,1,2,0,0,1,2014,1,9,6,54.0,30.0,41.0,45,3.0,29.98,1
98,2014-01-06,0,0,1,0,0,0,3,0,2014,1,10,6,63.0,27.0,26.0,68,6.0,30.01,1
99,2014-01-06,0,0,1,3,4,0,0,0,2014,1,11,6,70.0,25.0,18.0,68,9.0,30.01,1
100,2014-01-06,1,0,0,3,2,0,3,0,2014,1,12,6,73.0,23.0,15.0,68,12.0,29.98,1
101,2014-01-06,1,0,0,8,1,2,0,1,2014,1,13,6,75.0,25.0,15.0,23,9.0,29.95,1
102,2014-01-06,2,1,0,0,2,0,0,0,2014,1,14,6,75.0,23.0,14.0,23,10.0,29.92,1
103,2014-01-06,1,0,0,3,3,0,0,0,2014,1,15,6,75.0,25.0,15.0,45,12.0,29.92,4
104,2014-01-06,0,0,0,0,0,0,0,0,2014,1,16,6,75.0,23.0,14.0,68,8.0,29.89,4
105,2014-01-06,0,0,0,2,1,0,0,0,2014,1,17,6,73.0,23.0,15.0,68,6.0,29.92,4
106,2014-01-06,0,0,0,0,0,0,0,0,2014,1,18,6,68.0,23.0,18.0,90,6.0,29.92,1
107,2014-01-06,0,0,0,0,0,0,0,0,2014,1,19,6,66.0,23.0,19.0,90,6.0,29.95,1
108,2014-01-06,0,0,0,0,0,0,0,0,2014,1,20,6,63.0,27.0,26.0,68,7.0,29.98,1
109,2014-01-06,0,0,0,0,0,0,0,0,2014,1,21,6,59.0,25.0,27.0,45,12.0,29.98,1
110,2014-01-06,0,0,0,0,0,0,0,0,2014,1,22,6,59.0,23.0,25.0,45,13.0,29.98,1
111,2014-01-06,0,0,0,0,0,0,0,0,2014,1,23,6,55.0,25.0,31.0,45,12.0,29.98,1
112,2014-01-07,0,0,0,0,0,0,0,0,2014,1,0,7,55.0,25.0,31.0,0,6.0,29.98,1
113,2014-01-07,0,0,0,0,0,0,0,0,2014,1,1,7,54.0,25.0,33.0,23,5.0,29.95,1
114,2014-01-07,0,0,0,0,0,0,0,0,2014,1,2,7,54.0,27.0,35.0,23,5.0,29.92,1
115,2014-01-07,0,0,0,0,0,0,0,0,2014,1,3,7,50.0,27.0,40.0,45,7.0,29.92,1
116,2014-01-07,0,0,0,0,0,0,0,0,2014,1,4,7,48.0,27.0,43.0,45,5.0,29.92,1
118,2014-01-07,0,0,0,0,0,0,0,0,2014,1,6,7,46.0,25.0,43.0,23,5.0,29.92,1
119,2014-01-07,0,0,0,0,0,0,0,0,2014,1,7,7,46.0,25.0,43.0,23,9.0,29.92,1
120,2014-01-07,0,0,0,0,0,0,0,0,2014,1,8,7,48.0,23.0,37.0,23,6.0,29.95,1
121,2014-01-07,0,0,0,0,0,0,0,0,2014,1,9,7,59.0,21.0,23.0,23,9.0,29.98,1
122,2014-01-07,0,0,0,0,0,0,0,0,2014,1,10,7,66.0,19.0,17.0,23,9.0,30.01,1
123,2014-01-07,0,0,0,0,0,0,0,0,2014,1,11,7,72.0,18.0,13.0,45,14.0,30.01,1
124,2014-01-07,0,0,0,0,0,0,0,0,2014,1,12,7,73.0,18.0,12.0,68,15.0,29.98,1
125,2014-01-07,0,0,0,0,0,0,0,0,2014,1,13,7,75.0,16.0,11.0,45,10.0,29.95,1
126,2014-01-07,0,0,0,0,0,0,0,0,2014,1,14,7,75.0,14.0,10.0,68,12.0,29.92,1
128,2014-01-07,0,0,0,0,0,0,0,0,2014,1,16,7,77.0,14.0,9.0,68,8.0,29.89,1
129,2014-01-07,0,0,0,0,0,0,0,0,2014,1,17,7,75.0,14.0,10.0,68,10.0,29.89,1
130,2014-01-07,0,0,0,0,0,0,0,0,2014,1,18,7,70.0,12.0,11.0,68,8.0,29.87,1
131,2014-01-07,0,0,0,0,0,0,0,0,2014,1,19,7,66.0,14.0,13.0,68,7.0,29.89,1
132,2014-01-07,0,0,0,0,0,0,0,0,2014,1,20,7,63.0,14.0,15.0,45,7.0,29.89,1
133,2014-01-07,0,0,0,0,0,0,0,0,2014,1,21,7,61.0,16.0,17.0,45,14.0,29.92,1
134,2014-01-07,0,0,0,0,0,0,0,0,2014,1,22,7,57.0,18.0,21.0,23,9.0,29.95,1
135,2014-01-07,0,0,0,0,0,0,0,0,2014,1,23,7,55.0,19.0,25.0,23,3.0,29.92,1
136,2014-01-08,0,0,0,0,0,0,0,0,2014,1,0,8,54.0,19.0,26.0,23,5.0,29.92,1
138,2014-01-08,0,0,0,0,0,0,0,0,2014,1,2,8,52.0,21.0,30.0,45,5.0,29.87,1
139,2014-01-08,0,0,0,0,0,0,0,0,2014,1,3,8,52.0,21.0,30.0,0,3.0,29.87,1
140,2014-01-08,0,0,0,0,0,0,0,0,2014,1,4,8,50.0,21.0,32.0,338,5.0,29.87,1
141,2014-01-08,0,0,0,0,0,0,0,0,2014,1,5,8,50.0,23.0,35.0,0,7.0,29.87,1
143,2014-01-08,0,0,0,0,0,0,0,0,2014,1,7,8,48.0,27.0,43.0,0,5.0,29.89,1
144,2014-01-08,1,0,0,1,2,0,2,0,2014,1,8,8,48.0,27.0,43.0,0,3.0,29.89,1
145,2014-01-08,0,0,2,1,3,0,0,0,2014,1,9,8,55.0,27.0,33.0,68,3.0,29.92,1
146,2014-01-08,0,0,2,0,2,0,0,0,2014,1,10,8,64.0,30.0,28.0,0,10.0,29.95,1
147,2014-01-08,1,1,0,0,2,0,0,0,2014,1,11,8,64.0,28.0,26.0,338,7.0,29.98,5
148,2014-01-08,0,0,1,2,2,0,0,0,2014,1,12,8,66.0,27.0,23.0,23,9.0,29.95,5
149,2014-01-08,0,1,2,2,0,0,5,0,2014,1,13,8,68.0,27.0,21.0,23,8.0,29.92,5
150,2014-01-08,0,0,0,10,2,0,0,0,2014,1,14,8,70.0,27.0,20.0,68,12.0,29.89,5
151,2014-01-08,1,0,0,2,1,1,0,0,2014,1,15,8,72.0,25.0,17.0,23,7.0,29.87,5
152,2014-01-08,1,0,1,0,0,0,0,0,2014,1,16,8,72.0,25.0,17.0,45,7.0,29.87,4
153,2014-01-08,0,0,0,1,0,0,0,0,2014,1,17,8,72.0,27.0,19.0,68,8.0,29.89,1
154,2014-01-08,1,1,1,6,3,0,0,0,2014,1,18,8,68.0,27.0,21.0,68,6.0,29.89,1
156,2014-01-08,0,0,0,1,0,0,1,0,2014,1,20,8,61.0,28.0,29.0,68,6.0,29.92,4
157,2014-01-08,0,0,0,0,0,0,2,0,2014,1,21,8,59.0,30.0,34.0,23,12.0,29.98,1
158,2014-01-08,0,0,0,0,0,0,0,0,2014,1,22,8,55.0,0.0,41.0,23,7.0,30.01,1
159,2014-01-08,0,0,0,0,0,0,0,0,2014,1,23,8,54.0,34.0,47.0,23,5.0,30.01,1
160,2014-01-09,0,0,0,0,0,0,0,0,2014,1,0,9,54.0,34.0,47.0,0,7.0,29.98,1
161,2014-01-09,0,0,0,0,0,0,0,0,2014,1,1,9,54.0,34.0,47.0,0,6.0,29.98,1
162,2014-01-09,0,0,0,0,0,0,0,0,2014,1,2,9,52.0,0.0,47.0,0,7.0,29.98,1
163,2014-01-09,0,0,0,0,0,0,0,0,2014,1,3,9,52.0,0.0,47.0,0,6.0,29.98,1
164,2014-01-09,0,0,0,0,0,0,0,0,2014,1,4,9,0.0,0.0,0.0,0,6.0,29.98,1
165,2014-01-09,0,0,0,0,0,0,0,0,2014,1,5,9,48.0,0.0,54.0,0,5.0,29.98,1
167,2014-01-09,0,0,0,0,1,0,0,0,2014,1,7,9,48.0,37.0,66.0,0,6.0,30.01,1
168,2014-01-09,1,0,0,0,0,0,0,0,2014,1,8,9,54.0,39.0,58.0,0,6.0,30.04,1
169,2014-01-09,0,0,0,5,1,0,0,0,2014,1,9,9,55.0,39.0,54.0,23,7.0,30.04,1
170,2014-01-09,0,0,0,0,0,0,0,1,2014,1,10,9,63.0,36.0,37.0,23,14.0,30.07,1
171,2014-01-09,1,1,0,5,1,0,0,0,2014,1,11,9,66.0,34.0,30.0,23,12.0,30.07,1
172,2014-01-09,0,0,1,1,2,0,0,0,2014,1,12,9,70.0,30.0,23.0,45,12.0,30.04,1
173,2014-01-09,1,0,2,0,3,0,1,1,2014,1,13,9,72.0,30.0,22.0,45,10.0,30.01,1
174,2014-01-09,1,0,1,1,2,0,0,0,2014,1,14,9,72.0,30.0,22.0,68,9.0,29.95,1
176,2014-01-09,2,0,0,1,2,0,0,0,2014,1,16,9,72.0,30.0,22.0,45,3.0,29.92,1
177,2014-01-09,0,0,1,2,1,0,0,0,2014,1,17,9,72.0,30.0,22.0,23,6.0,29.92,1
178,2014-01-09,1,0,1,0,0,0,0,0,2014,1,18,9,68.0,30.0,24.0,90,8.0,29.92,1
179,2014-01-09,0,0,0,6,0,0,2,0,2014,1,19,9,66.0,36.0,32.0,0,0.0,29.95,1
180,2014-01-09,0,0,0,3,0,0,0,0,2014,1,20,9,63.0,37.0,39.0,0,0.0,29.98,1
181,2014-01-09,0,0,0,0,0,0,0,0,2014,1,21,9,61.0,0.0,34.0,90,5.0,29.98,1
182,2014-01-09,0,0,0,0,0,0,0,0,2014,1,22,9,61.0,0.0,34.0,45,10.0,30.01,1
183,2014-01-09,0,0,0,0,0,0,0,0,2014,1,23,9,57.0,0.0,38.0,45,7.0,30.01,1
184,2014-01-10,0,0,0,0,0,0,0,0,2014,1,0,10,0.0,0.0,0.0,45,7.0,29.98,1
186,2014-01-10,0,0,0,0,0,0,0,0,2014,1,2,10,50.0,34.0,54.0,0,6.0,29.95,1
187,2014-01-10,0,0,0,0,0,0,0,0,2014,1,3,10,50.0,34.0,54.0,0,3.0,29.95,1
188,2014-01-10,0,0,0,0,0,0,0,0,2014,1,4,10,48.0,34.0,57.0,23,3.0,29.95,1
189,2014-01-10,0,0,0,0,0,0,0,0,2014,1,5,10,48.0,34.0,57.0,23,9.0,29.92,1
192,2014-01-10,0,0,0,0,4,0,0,0,2014,1,8,10,48.0,34.0,57.0,0,3.0,29.98,4
193,2014-01-10,1,0,1,0,3,0,0,0,2014,1,9,10,55.0,34.0,44.0,315,3.0,30.01,1
194,2014-01-10,1,0,0,0,1,0,0,1,2014,1,10,10,61.0,0.0,34.0,0,6.0,30.04,1
195,2014-01-10,0,0,0,0,2,1,0,0,2014,1,11,10,64.0,34.0,32.0,0,6.0,30.04,1
196,2014-01-10,0,0,0,10,1,1,0,0,2014,1,12,10,68.0,27.0,21.0,23,9.0,30.01,1
197,2014-01-10,2,0,0,12,2,0,0,1,2014,1,13,10,68.0,27.0,21.0,0,7.0,29.98,1
198,2014-01-10,0,0,0,10,0,0,0,0,2014,1,14,10,70.0,23.0,17.0,315,9.0,29.92,1
200,2014-01-10,0,0,0,0,0,0,0,0,2014,1,16,10,72.0,12.0,10.0,23,14.0,29.92,1
201,2014-01-10,0,0,0,12,1,0,0,0,2014,1,17,10,72.0,14.0,11.0,0,9.0,29.92,4
202,2014-01-10,1,1,0,1,0,0,0,0,2014,1,18,10,68.0,19.0,16.0,23,8.0,29.95,4
203,2014-01-10,0,0,0,2,0,0,0,0,2014,1,19,10,64.0,0.0,30.0,45,12.0,29.98,4
204,2014-01-10,0,0,1,5,0,0,0,0,2014,1,20,10,63.0,0.0,32.0,45,14.0,30.01,1
205,2014-01-10,0,0,0,0,0,0,0,0,2014,1,21,10,59.0,30.0,34.0,90,6.0,30.04,1
206,2014-01-10,0,0,0,0,0,0,0,0,2014,1,22,10,59.0,30.0,34.0,45,6.0,30.04,1
208,2014-01-11,0,0,0,0,0,0,0,0,2014,1,0,11,54.0,34.0,47.0,45,5.0,30.07,1
209,2014-01-11,0,0,0,0,0,0,0,0,2014,1,1,11,54.0,0.0,44.0,45,8.0,30.07,1
210,2014-01-11,0,0,0,0,0,0,0,0,2014,1,2,11,52.0,30.0,44.0,23,6.0,30.07,1
211,2014-01-11,0,0,0,0,0,0,0,0,2014,1,3,11,52.0,30.0,44.0,0,8.0,30.04,1
212,2014-01-11,0,0,0,0,0,0,0,0,2014,1,4,11,50.0,28.0,43.0,0,9.0,30.04,1
213,2014-01-11,0,0,0,0,0,0,0,0,2014,1,5,11,48.0,27.0,43.0,23,7.0,30.04,1
215,2014-01-11,0,0,0,0,0,0,0,0,2014,1,7,11,46.0,25.0,43.0,0,3.0,30.04,1
217,2014-01-11,0,0,1,2,0,0,0,0,2014,1,9,11,54.0,25.0,33.0,0,0.0,30.1,4
218,2014-01-11,0,0,2,0,1,0,0,0,2014,1,10,11,61.0,23.0,23.0,0,7.0,30.13,4
219,2014-01-11,0,0,0,2,1,0,0,0,2014,1,11,11,66.0,21.0,18.0,45,8.0,30.13,4
220,2014-01-11,1,0,1,6,1,0,0,0,2014,1,12,11,70.0,19.0,15.0,68,12.0,30.1,4
221,2014-01-11,1,0,0,2,1,0,0,0,2014,1,13,11,70.0,19.0,15.0,68,13.0,30.1,4
222,2014-01-11,0,1,0,2,2,0,0,0,2014,1,14,11,72.0,19.0,14.0,68,12.0,0.0,4
224,2014-01-11,1,0,2,3,3,0,0,0,2014,1,16,11,72.0,19.0,14.0,45,8.0,30.01,4
225,2014-01-11,0,1,1,4,0,0,0,0,2014,1,17,11,72.0,19.0,14.0,90,9.0,30.01,4
226,2014-01-11,0,0,2,1,1,0,0,0,2014,1,18,11,66.0,21.0,18.0,68,7.0,30.04,4
227,2014-01-11,1,0,0,16,0,0,0,0,2014,1,19,11,64.0,23.0,21.0,68,8.0,30.07,4
228,2014-01-11,0,0,1,5,0,0,1,0,2014,1,20,11,63.0,25.0,24.0,45,12.0,30.07,1
229,2014-01-11,0,0,0,0,0,0,0,0,2014,1,21,11,59.0,25.0,27.0,23,9.0,30.1,1
230,2014-01-11,0,0,0,0,0,0,0,0,2014,1,22,11,59.0,27.0,29.0,68,5.0,30.1,1
231,2014-01-11,0,0,0,0,0,0,0,0,2014,1,23,11,54.0,27.0,35.0,0,3.0,30.1,1
232,2014-01-12,0,0,0,0,0,0,0,0,2014,1,0,12,52.0,27.0,38.0,45,3.0,30.1,1
233,2014-01-12,0,0,0,0,0,0,0,0,2014,1,1,12,50.0,27.0,40.0,338,9.0,30.1,1
235,2014-01-12,0,0,0,0,0,0,0,0,2014,1,3,12,48.0,28.0,46.0,45,7.0,30.07,1
236,2014-01-12,0,0,0,0,0,0,0,0,2014,1,4,12,46.0,28.0,50.0,23,7.0,30.07,1
237,2014-01-12,0,0,0,0,0,0,0,0,2014,1,5,12,46.0,28.0,50.0,23,5.0,30.07,1
239,2014-01-12,0,0,0,0,0,0,0,0,2014,1,7,12,45.0,28.0,53.0,23,5.0,30.1,1
240,2014-01-12,0,0,0,0,0,0,0,0,2014,1,8,12,46.0,27.0,46.0,45,12.0,30.1,1
241,2014-01-12,0,0,1,0,1,0,0,0,2014,1,9,12,52.0,27.0,38.0,45,5.0,30.13,4
242,2014-01-12,1,0,0,4,3,0,0,0,2014,1,10,12,64.0,28.0,26.0,23,8.0,30.16,4
243,2014-01-12,0,0,0,0,1,0,0,0,2014,1,11,12,66.0,27.0,23.0,23,9.0,30.16,4
244,2014-01-12,1,0,2,5,2,0,1,1,2014,1,12,12,70.0,27.0,20.0,23,10.0,30.13,4
245,2014-01-12,0,0,0,3,1,0,0,0,2014,1,13,12,72.0,25.0,17.0,45,12.0,30.1,5
246,2014-01-12,0,0,0,0,0,0,0,0,2014,1,14,12,73.0,23.0,15.0,23,7.0,30.04,4
247,2014-01-12,0,0,0,0,0,0,0,0,2014,1,15,12,72.0,23.0,16.0,0,6.0,30.04,4
248,2014-01-12,0,0,0,0,0,0,0,0,2014,1,16,12,72.0,21.0,15.0,68,7.0,30.01,4
249,2014-01-12,0,0,0,0,0,0,0,0,2014,1,17,12,72.0,21.0,15.0,23,5.0,30.01,4
250,2014-01-12,0,0,0,0,0,0,0,0,2014,1,18,12,72.0,21.0,15.0,90,6.0,30.01,4
251,2014-01-12,0,0,0,0,0,0,0,0,2014,1,19,12,64.0,25.0,22.0,68,6.0,30.04,4
252,2014-01-12,0,0,0,0,0,0,0,0,2014,1,20,12,64.0,25.0,22.0,68,6.0,30.04,4
253,2014-01-12,0,0,0,0,0,0,0,0,2014,1,21,12,63.0,25.0,24.0,0,3.0,30.07,4
254,2014-01-12,0,0,0,0,0,0,0,0,2014,1,22,12,63.0,27.0,26.0,0,2.0,30.07,4
255,2014-01-12,0,0,0,0,0,0,0,0,2014,1,23,12,52.0,28.0,41.0,23,6.0,30.07,4
256,2014-01-13,0,0,0,0,0,0,0,0,2014,1,0,13,57.0,30.0,36.0,0,7.0,30.07,4
257,2014-01-13,0,0,0,0,0,0,0,0,2014,1,1,13,57.0,30.0,36.0,45,12.0,30.04,4
258,2014-01-13,0,0,0,0,0,0,0,0,2014,1,2,13,55.0,30.0,38.0,45,12.0,30.04,4
259,2014-01-13,0,0,0,0,0,0,0,0,2014,1,3,13,55.0,28.0,36.0,68,3.0,30.01,1
260,2014-01-13,0,0,0,0,0,0,0,0,2014,1,4,13,54.0,30.0,41.0,45,3.0,30.01,4
