datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Condition_int
2014-06-15,27,14,23,96,86,8,20,36,89.26946107784431,75.61077844311377,64.89221556886227,12.1437125748503,0.0,25.381676646706584,0.0,1.9520958083832336
2014-06-22,30,19,26,105,63,5,11,24,90.24848484848485,77.23030303030303,66.01818181818182,15.703030303030303,0.0,28.836909090909092,0.0,2.963636363636364
2014-06-29,20,26,37,156,96,1,6,18,88.78313253012048,73.86746987951807,61.81325301204819,21.427710843373493,0.0,29.155361445783132,0.0,5.198795180722891
2014-07-06,26,23,30,134,64,3,8,10,86.20121951219512,73.9329268292683,67.28048780487805,20.24390243902439,0.0,29.334451219512196,0.0,4.036585365853658
2014-07-13,25,19,34,123,79,7,23,16,86.85714285714286,73.28571428571429,64.65217391304348,15.136645962732919,0.0,29.47347826086957,0.0,2.4782608695652173
2014-07-20,33,19,20,95,84,6,12,14,88.2060606060606,74.55757575757576,64.57575757575758,13.66060606060606,0.0,29.20121212121212,0.0,2.381818181818182
2014-07-27,27,25,32,116,77,2,8,16,86.37349397590361,73.86746987951807,66.90963855421687,16.57831325301205,0.0,29.27566265060241,0.0,5.5
2014-08-03,20,6,23,95,79,9,11,17,86.36526946107784,74.73053892215569,68.92814371257485,12.718562874251496,0.0,29.414730538922157,0.0,4.227544910179641
2014-08-10,28,17,27,120,79,8,3,16,85.03658536585365,72.10365853658537,65.48780487804878,12.768292682926829,0.0,28.54548780487805,0.0,2.5853658536585367
2014-08-17,23,14,33,81,87,5,3,15,85.11111111111111,72.64583333333333,66.72222222222223,16.65972222222222,0.0,29.30111111111111,0.0,4.118055555555555
2014-08-24,35,23,20,107,92,7,14,11,84.86746987951807,70.33734939759036,61.33132530120482,12.644578313253012,0.0,29.45602409638554,0.0,1.9698795180722892
2014-08-31,17,26,29,156,109,3,12,14,86.03821656050955,71.51592356687898,62.40764331210191,14.229299363057326,0.0,29.566369426751592,0.0,2.261146496815287
2014-09-07,28,25,22,100,104,5,9,17,88.03105590062111,69.62111801242236,56.24223602484472,13.01863354037267,0.0,29.48192546583851,0.0,2.968944099378882
2014-09-14,16,17,21,205,101,0,28,10,84.64375,71.29375,64.66875,13.075,0.0,29.607125000000003,0.0,2.3375
2014-09-21,17,19,28,214,65,3,44,8,83.64024390243902,70.46341463414635,64.1829268292683,14.012195121951219,0.0,29.638231707317075,0.0,2.2134146341463414
2014-09-28,24,23,29,230,95,3,2,16,83.22560975609755,69.90853658536585,64.61585365853658,15.737804878048781,0.1402439024390244,29.546463414634147,0.0,2.2378048780487805
2014-10-05,30,23,29,259,72,3,81,14,83.48795180722891,70.75903614457832,67.32530120481928,12.512048192771084,0.0,29.77819277108434,0.0,1.3734939759036144
2014-10-12,21,19,32,285,99,7,21,10,86.36601307189542,64.81699346405229,54.130718954248366,7.57516339869281,0.0,29.746274509803925,0.0,1.522875816993464
2014-10-19,22,28,22,215,91,5,29,11,83.02453987730061,52.03680981595092,38.70552147239264,6.9447852760736195,0.0,29.80834355828221,0.0,2.496932515337423
2014-10-26,16,20,21,184,82,1,30,9,82.8,52.54838709677419,41.58064516129032,5.612903225806452,0.0,29.82967741935484,0.0,2.264516129032258
2014-11-02,22,11,31,164,101,4,32,5,81.94736842105263,57.5921052631579,46.5921052631579,6.572368421052632,0.0,29.842105263157894,0.0,4.8881578947368425
2014-11-09,40,25,27,171,146,5,25,6,80.89506172839506,59.17283950617284,54.34567901234568,8.88888888888889,0.0,29.87141975308642,0.0,2.759259259259259
2014-11-16,30,22,30,172,110,4,22,10,77.14110429447852,34.19631901840491,23.779141104294478,6.061349693251533,0.0,29.710184049079757,0.0,1.4539877300613497
2014-11-23,27,20,34,159,103,3,38,8,77.12658227848101,49.34177215189873,43.31012658227848,5.69620253164557,0.0,29.88094936708861,0.0,2.778481012658228
2014-11-30,28,15,38,147,89,7,20,16,75.48101265822785,57.436708860759495,56.95569620253165,5.905063291139241,0.0,29.656835443037973,0.0,4.044303797468355
2014-12-07,27,25,16,169,109,4,35,8,72.44444444444444,49.31481481481482,47.95679012345679,5.166666666666667,0.0,29.9179012345679,0.0,4.388888888888889
2014-12-14,24,19,25,210,106,7,21,3,67.58125,30.39375,29.09375,5.5625,0.0,29.937562500000002,0.0,2.175
2014-12-21,24,17,22,200,74,6,31,6,64.84049079754601,36.852760736196316,39.24539877300614,4.987730061349693,0.0,30.013496932515338,0.0,3.791411042944785
2014-12-28,31,25,24,262,140,4,48,9,66.25949367088607,39.72784810126582,42.120253164556964,6.525316455696203,0.0,29.957594936708862,0.0,3.7911392405063293
2015-01-04,36,31,23,292,64,4,25,10,65.60975609756098,36.26829268292683,36.73170731707317,9.225609756097562,0.0,27.91719512195122,0.0,4.158536585365853
2015-01-11,18,32,31,233,94,7,38,10,68.1963190184049,54.30061349693251,64.15337423312883,8.441717791411042,0.0,29.950613496932515,0.0,7.607361963190184
2015-01-18,37,28,39,231,115,4,32,9,66.26946107784431,42.73053892215569,46.92215568862275,8.161676646706587,0.0,29.793353293413173,0.0,5.227544910179641
2015-01-25,28,12,32,247,127,3,58,8,65.27272727272727,43.224242424242426,47.39393939393939,8.36969696969697,0.0,29.615454545454547,0.0,3.806060606060606
2015-02-01,31,33,30,192,99,8,40,9,65.35151515151514,42.86060606060606,48.236363636363635,6.624242424242424,0.0,29.988727272727274,0.0,2.3636363636363638
2015-02-08,19,27,29,196,74,1,36,11,69.1280487804878,44.8780487804878,44.609756097560975,8.109756097560975,0.0,29.79670731707317,0.0,2.8719512195121952
2015-02-15,33,27,42,221,77,4,65,13,72.72289156626506,52.83132530120482,54.07831325301205,9.518072289156626,0.0,29.916024096385545,0.0,2.7710843373493974
2015-02-22,21,25,19,280,33,2,69,14,76.54037267080746,62.32919254658385,65.21739130434783,7.614906832298137,0.0,29.825217391304346,0.0,3.7577639751552794
2015-03-01,42,27,27,234,50,5,38,12,69.78527607361963,41.76687116564417,40.22699386503067,11.45398773006135,1.177914110429448,29.79552147239264,0.0,3.852760736196319
2015-03-08,40,20,22,234,38,1,17,10,71.9578313253012,49.77710843373494,50.83734939759036,8.91566265060241,0.0,29.8766265060241,0.0,2.9819277108433737
2015-03-15,25,28,33,265,53,2,35,13,72.92682926829268,39.27439024390244,33.920731707317074,9.932926829268293,0.5,29.92560975609756,0.0,1.579268292682927
2015-03-22,41,24,22,249,54,2,58,6,78.82424242424243,58.92121212121212,53.981818181818184,6.606060606060606,0.0,29.895454545454545,0.0,1.5454545454545454
2015-03-29,24,27,28,232,49,4,58,17,84.66666666666667,58.82142857142857,45.17857142857143,7.625,0.0,29.78017857142857,0.0,2.0833333333333335
2015-04-05,29,19,40,198,41,3,13,19,80.6474358974359,64.42948717948718,61.02564102564103,11.487179487179487,0.0,29.672115384615388,0.0,3.923076923076923
2015-04-12,32,20,27,187,44,2,40,17,84.67878787878787,59.39393939393939,48.2,7.775757575757575,0.0,29.72709090909091,0.0,2.2181818181818183
2015-04-19,39,19,31,221,42,0,19,26,89.16463414634147,57.24390243902439,37.6219512195122,8.670731707317072,0.0,29.743048780487804,0.0,1.0731707317073171
2015-04-26,36,19,23,234,44,0,6,23,86.84662576687117,65.69938650306749,52.88343558282209,10.042944785276074,0.0,29.665889570552146,0.0,0.9202453987730062
2015-05-03,28,17,22,197,40,2,20,41,88.65644171779141,66.07361963190183,51.41104294478528,9.613496932515337,0.0,29.670674846625765,0.0,2.1595092024539877
2015-05-10,18,30,29,151,45,3,26,39,86.0670731707317,73.21341463414635,66.70121951219512,11.073170731707316,0.0,29.65378048780488,0.0,1.4146341463414633
2015-05-17,34,28,39,196,34,0,12,37,86.95180722891567,73.7710843373494,65.6144578313253,11.626506024096386,0.3373493975903614,29.450421686746992,0.0,1.427710843373494
2015-05-24,34,19,23,123,54,2,10,29,88.73053892215569,75.22155688622755,65.2994011976048,13.544910179640718,0.0,29.403353293413172,0.0,2.07185628742515
2015-05-31,46,19,31,183,40,3,51,39,88.48125,75.73125,66.94375,12.875,0.0,29.586125,0.0,1.90625
2015-06-07,33,23,27,142,54,5,53,27,89.5548780487805,70.64634146341463,56.46951219512195,11.304878048780488,0.1951219512195122,28.842743902439025,0.0,2.7134146341463414
2015-06-14,26,21,31,163,55,3,26,27,88.88957055214723,73.38036809815951,60.26993865030675,12.680981595092025,0.0,29.164294478527605,0.0,2.1779141104294477
2015-06-21,40,21,36,174,52,3,83,35,93.2969696969697,72.93939393939394,53.987878787878785,10.709090909090909,0.0,28.86,0.0,1.2424242424242424
2015-06-28,36,27,40,172,27,1,18,28,92.93827160493827,75.11111111111111,57.46913580246913,12.314814814814815,0.0,29.339938271604936,0.0,2.691358024691358
2015-07-05,36,24,27,150,66,1,34,29,89.42857142857143,74.54037267080746,62.06211180124224,19.509316770186334,0.0,29.53832298136646,0.0,3.8944099378881987
2015-07-12,24,20,19,174,45,0,19,34,88.33566433566433,75.56643356643356,66.38461538461539,14.741258741258742,0.0,29.42979020979021,0.0,3.6223776223776225
2015-07-19,35,17,23,141,26,3,7,26,87.9079754601227,74.38036809815951,64.8036809815951,14.895705521472392,0.0,29.231840490797545,0.0,3.2515337423312882
2015-07-26,34,20,27,172,44,2,7,25,86.61818181818182,76.06060606060606,71.64242424242424,10.993939393939394,0.0,28.926545454545455,0.0,7.533333333333333
2015-08-02,47,30,36,115,60,0,3,13,83.65131578947368,73.01315789473684,70.11842105263158,14.697368421052632,0.0,29.49184210526316,0.0,5.592105263157895
2015-08-09,32,20,30,167,40,4,11,17,82.84472049689441,71.40372670807453,67.35403726708074,13.559006211180124,0.0,29.504223602484473,0.0,3.6645962732919255
2015-08-16,37,33,28,150,53,3,7,18,85.35897435897436,72.61538461538461,66.06410256410257,9.583333333333334,0.0,29.549423076923077,0.0,2.8205128205128207
2015-08-23,36,21,26,190,61,5,7,18,84.40880503144655,72.47169811320755,68.062893081761,14.767295597484276,0.0,29.57320754716981,0.0,4.062893081761007
2015-08-30,50,36,26,186,62,3,11,22,84.25903614457832,72.49397590361446,67.644578313253,12.319277108433734,0.0,29.57578313253012,0.0,2.783132530120482
2015-09-06,35,36,23,175,62,3,22,21,83.17721518987342,69.51898734177215,63.39873417721519,11.265822784810126,0.0,29.66113924050633,0.0,2.2974683544303796
2015-09-13,35,30,33,231,53,4,24,17,85.23125,71.25625,63.75,9.39375,0.0,29.703500000000002,0.0,1.1875
2015-09-20,34,22,23,190,56,0,17,18,88.03030303030303,69.35757575757576,57.70909090909091,8.76969696969697,0.0,29.580545454545454,0.0,2.139393939393939
2015-09-27,39,27,21,196,50,4,17,12,84.9874213836478,69.49056603773585,60.276729559748425,10.025157232704403,0.0,29.62169811320755,0.0,1.9748427672955975
2015-10-04,39,26,21,239,41,0,50,10,86.68072289156626,60.373493975903614,47.524096385542165,6.614457831325301,0.0,29.41957831325301,0.0,1.2228915662650603
2015-10-11,43,20,33,330,72,4,51,17,85.11875,72.325,66.40625,8.15625,0.0,29.720375,0.0,2.58125
2015-10-18,39,34,34,409,37,1,32,15,86.30246913580247,69.11111111111111,59.53086419753087,7.679012345679013,0.0,29.83851851851852,0.0,1.6728395061728396
2015-10-25,46,18,28,346,42,1,40,19,85.53086419753086,68.20370370370371,58.65432098765432,6.728395061728395,0.0,29.80246913580247,0.0,2.246913580246914
2015-11-01,27,25,31,365,57,1,31,11,81.66666666666667,48.90384615384615,34.506410256410255,9.98076923076923,0.0,29.701346153846153,0.0,0.8589743589743589
2015-11-08,29,23,33,320,59,6,33,9,79.76433121019109,47.4203821656051,35.29936305732484,5.898089171974522,0.0,29.676178343949044,0.0,3.8089171974522293
2015-11-15,34,34,40,233,52,4,70,6,78.75460122699387,54.785276073619634,47.73006134969325,5.478527607361963,0.0,29.87386503067485,0.0,6.190184049079755
2015-11-22,30,19,25,267,45,4,32,13,76.45061728395062,39.54938271604938,29.88888888888889,6.197530864197531,0.0,29.69691358024691,0.0,2.3271604938271606
2015-11-29,29,25,27,249,45,3,19,11,73.28313253012048,35.46987951807229,27.710843373493976,7.566265060240964,0.0,29.733975903614457,0.0,2.4216867469879517
2015-12-06,29,23,29,276,54,12,25,9,71.03048780487805,45.02439024390244,44.19512195121951,4.225609756097561,0.0,29.74469512195122,0.0,3.8597560975609757
2015-12-13,39,34,39,225,55,3,72,11,68.24375,36.075,35.83125,6.25625,0.0,29.891000000000002,0.0,5.24375
2015-12-20,30,21,25,216,46,6,52,6,65.11180124223603,32.96894409937888,34.732919254658384,5.968944099378882,0.0,29.772608695652178,0.0,3.8509316770186337
2015-12-27,29,24,26,323,75,5,50,10,64.70121951219512,33.207317073170735,34.72560975609756,4.560975609756097,0.0,30.058109756097558,0.0,3.5060975609756095
2016-01-03,32,22,23,341,58,4,48,13,70.51204819277109,45.71686746987952,45.21686746987952,5.22289156626506,0.0,30.019819277108432,0.0,4.843373493975903
2016-01-10,40,21,40,342,48,4,35,9,70.02439024390245,55.53658536585366,62.4390243902439,5.4817073170731705,0.0,29.781219512195122,0.0,6.396341463414634
2016-01-17,48,23,47,363,81,0,21,12,68.36585365853658,46.957317073170735,50.40853658536585,5.945121951219512,0.0,29.708719512195124,0.0,3.9695121951219514
2016-01-24,26,28,39,316,64,9,46,16,66.5670731707317,49.323170731707314,56.22560975609756,5.445121951219512,0.0,29.955975609756095,0.0,3.7378048780487805
2016-01-31,39,34,36,321,50,10,62,13,70.84177215189874,56.075949367088604,61.51898734177215,5.905063291139241,0.0,29.91113924050633,0.0,4.3924050632911396
2016-02-07,47,35,31,310,38,5,37,10,69.828025477707,43.560509554140125,43.68789808917197,5.535031847133758,0.0,29.931019108280257,0.0,1.6751592356687899
2016-02-14,29,30,32,252,61,2,65,12,69.65734265734265,37.47552447552447,34.15384615384615,7.090909090909091,0.0,29.89265734265734,0.0,1.7272727272727273
2016-02-21,36,19,24,270,52,7,60,12,72.85975609756098,32.103658536585364,25.304878048780488,11.152439024390244,0.0,29.953048780487805,0.0,3.317073170731707
2016-02-28,39,26,30,274,62,5,67,19,75.89506172839506,46.39506172839506,42.94444444444444,6.438271604938271,0.0,29.903024691358024,0.0,2.574074074074074
2016-03-06,34,30,30,257,51,4,28,18,78.79617834394904,51.35031847133758,43.00636942675159,7.025477707006369,0.0,29.862802547770702,0.0,1.6178343949044587
2016-03-13,27,42,22,243,40,2,61,12,77.48170731707317,60.01829268292683,57.25,9.475609756097562,0.0,29.825182926829267,0.0,2.1036585365853657
2016-03-20,39,45,31,244,67,3,81,26,80.29629629629629,62.73456790123457,57.148148148148145,10.012345679012345,0.0,29.6170987654321,0.0,1.1666666666666667
2016-03-27,33,23,46,284,72,4,52,26,82.44047619047619,55.654761904761905,43.67857142857143,7.744047619047619,0.0,29.844583333333336,0.0,1.5119047619047619
2016-04-03,34,22,27,270,41,0,74,44,81.56363636363636,64.46060606060605,59.35757575757576,10.56969696969697,0.0,29.783151515151516,0.0,1.4666666666666666
2016-04-10,46,38,28,198,35,6,60,40,80.95238095238095,63.482142857142854,57.214285714285715,10.398809523809524,0.0,29.771130952380954,0.0,0.9761904761904762
2016-04-17,18,26,27,214,74,3,50,33,84.32394366197182,66.78169014084507,58.79577464788732,11.45774647887324,0.20422535211267606,29.692535211267607,0.0,2.3380281690140845
2016-04-24,32,23,35,177,54,8,40,26,83.86746987951807,63.54819277108434,53.765060240963855,10.427710843373495,0.0,29.669397590361445,0.0,0.7891566265060241
2016-05-01,31,22,35,173,100,1,24,22,86.1948051948052,68.48701298701299,58.47402597402598,9.38961038961039,0.0,29.665064935064937,0.0,0.37662337662337664
2016-05-08,30,33,20,247,54,4,8,31,85.82716049382717,70.30246913580247,60.32098765432099,10.395061728395062,0.0,29.651666666666664,0.0,0.8333333333333334
2016-05-15,30,25,27,194,48,1,33,20,87.09803921568627,74.2875816993464,66.79738562091504,10.823529411764707,0.0,29.63156862745098,0.0,1.1372549019607843
2016-05-22,27,25,33,234,57,3,41,34,89.57055214723927,75.05521472392638,63.84049079754601,12.343558282208589,0.0,28.577730061349694,0.0,1.6134969325153374
2016-05-29,50,16,34,223,74,10,21,38,86.93788819875776,73.6583850931677,64.83850931677019,15.434782608695652,0.0,29.189627329192547,0.0,2.4782608695652173
2016-06-05,39,20,21,143,47,3,28,30,88.04294478527608,72.51533742331289,62.061349693251536,12.963190184049079,0.0,29.591165644171777,0.0,1.478527607361963
2016-06-12,49,23,23,218,57,3,36,35,88.6086956521739,74.80745341614907,65.0248447204969,15.944099378881987,0.0,29.12645962732919,0.0,3.4161490683229814
2016-06-19,24,27,25,167,50,2,42,35,87.55696202531645,73.10759493670886,63.14556962025316,15.79746835443038,0.0,27.796962025316457,0.0,3.2088607594936707
2016-06-26,33,23,32,162,71,0,22,25,89.02395209580838,73.49700598802396,61.8502994011976,11.850299401197605,0.0,29.28407185628743,0.0,1.8023952095808384
2016-07-03,32,21,33,144,62,12,45,27,88.83850931677019,76.30434782608695,67.72670807453416,9.472049689440993,0.0,28.854534161490683,0.0,4.3478260869565215
2016-07-10,35,35,26,144,64,5,15,24,86.24375,76.0375,71.98125,13.53125,0.0,29.40175,0.0,5.81875
2016-07-17,36,22,23,128,44,0,15,25,86.89115646258503,74.52380952380952,67.27210884353741,10.428571428571429,0.0,27.83013605442177,0.0,4.136054421768708
2016-07-24,35,19,31,129,42,0,10,20,85.58064516129032,74.03870967741935,68.89032258064516,13.212903225806452,0.0,28.743419354838714,0.0,5.309677419354839
2016-07-31,54,27,27,125,66,2,25,22,86.12578616352201,73.31446540880503,66.20754716981132,12.716981132075471,0.0,29.527924528301885,0.0,3.150943396226415
2016-08-07,52,17,29,159,89,1,61,20,83.9625,74.85625,74.13125,11.2875,0.0,28.687937499999997,0.0,8.0375
2016-08-14,45,30,34,168,84,5,13,19,84.55421686746988,74.09036144578313,71.144578313253,10.614457831325302,0.0,29.50602409638554,0.0,3.8373493975903616
2016-08-21,43,19,25,159,43,4,17,21,84.98787878787878,72.12727272727273,65.37575757575758,11.975757575757576,0.0,29.477272727272727,0.0,2.8484848484848486
2016-08-28,35,16,29,139,23,2,20,16,85.26219512195122,74.1219512195122,70.51829268292683,10.317073170731707,0.0,29.562317073170732,0.0,3.548780487804878
2016-09-04,47,17,25,164,53,0,16,19,83.9,72.13125,68.3375,10.91875,0.0,29.571125000000002,0.0,2.70625
2016-09-11,28,28,29,236,68,8,26,17,83.22151898734177,70.58227848101266,66.14556962025317,12.417721518987342,0.0,29.651265822784808,0.0,2.4177215189873418
2016-09-18,33,28,20,222,88,0,37,12,84.4753086419753,72.19753086419753,67.50617283950618,10.765432098765432,0.0,29.645370370370372,0.0,1.4135802469135803
2016-09-25,29,22,24,249,65,5,24,10,83.9874213836478,71.08176100628931,65.74842767295597,14.69811320754717,0.0,29.265220125786165,0.0,1.8238993710691824
2016-10-02,59,18,31,340,33,4,28,14,83.74193548387096,71.50967741935484,67.29677419354839,11.438709677419356,0.0,29.289870967741937,0.0,2.07741935483871
2016-10-09,33,27,33,389,28,2,46,14,84.93037974683544,73.25949367088607,68.76582278481013,8.841772151898734,0.0,29.657151898734178,0.0,2.0253164556962027
2016-10-16,39,22,36,333,124,3,54,13,82.5875,70.6625,69.2375,6.90625,0.0,29.542875,0.0,3.075
2016-10-23,36,28,30,256,37,3,47,13,81.29113924050633,68.01898734177215,64.89873417721519,8.474683544303797,0.0,29.38025316455696,0.0,2.8860759493670884
2016-10-30,39,23,35,316,59,3,27,9,79.66225165562913,61.741721854304636,59.09271523178808,5.231788079470198,0.0,29.817814569536424,0.0,3.423841059602649
2016-11-06,31,13,22,227,46,3,42,23,80.20125786163523,47.9496855345912,37.41509433962264,4.3584905660377355,0.0,29.68006289308176,0.0,3.893081761006289
2016-11-13,45,29,36,255,66,4,36,10,75.38888888888889,54.19753086419753,53.7962962962963,5.401234567901234,0.0,29.71037037037037,0.0,6.018518518518518
2016-11-20,35,17,29,238,40,9,22,10,73.08125,46.35625,44.04375,5.14375,0.0,29.713437499999998,0.0,4.1875
2016-11-27,34,23,28,227,42,9,46,11,74.27564102564102,49.967948717948715,48.01923076923077,5.102564102564102,0.0,29.68551282051282,0.0,5.076923076923077
2016-12-04,30,20,16,275,47,2,44,4,73.86451612903225,47.47741935483871,43.464516129032255,5.225806451612903,0.0,29.928967741935484,0.0,4.335483870967742
2016-12-11,34,18,32,250,31,4,46,10,73.15584415584415,57.006493506493506,61.79220779220779,4.435064935064935,0.0,29.88577922077922,0.0,6.837662337662338
2016-12-18,27,23,23,264,63,6,78,7,70.90445859872611,50.382165605095544,52.3312101910828,6.343949044585988,0.0,29.734267515923566,0.0,4.853503184713376
2016-12-25,23,23,16,286,27,3,31,7,71.2051282051282,43.19230769230769,46.3974358974359,5.493589743589744,0.0,29.921538461538464,0.0,5.737179487179487
2017-01-01,45,33,28,435,46,4,54,3,69.84210526315789,51.19078947368421,58.18421052631579,3.2171052631578947,0.0,29.920263157894738,0.0,8.18421052631579
2017-01-08,29,26,27,328,58,3,41,11,66.68152866242038,43.847133757961785,51.496815286624205,5.515923566878981,0.0,29.88343949044586,0.0,8.19108280254777
2017-01-15,42,26,50,361,112,3,30,4,61.566265060240966,43.90963855421687,55.45783132530121,7.927710843373494,0.0,29.921144578313253,0.0,5.650602409638554
2017-01-22,32,22,30,307,107,6,38,4,63.640243902439025,39.329268292682926,44.4390243902439,9.902439024390244,0.0,30.050975609756094,0.0,3.268292682926829
2017-01-29,30,30,34,288,94,6,52,4,66.48427672955975,42.64150943396226,46.886792452830186,6.484276729559748,0.0,29.80522012578616,0.0,3.949685534591195
2017-02-05,42,33,27,239,64,7,35,7,68.29559748427673,44.65408805031446,48.34591194968554,8.132075471698114,0.2389937106918239,29.904402515723273,0.0,3.861635220125786
2017-02-12,46,26,31,137,37,3,27,9,66.52121212121212,32.39393939393939,32.557575757575755,5.86060606060606,0.0,29.955939393939396,0.0,1.103030303030303
2017-02-19,24,18,10,123,18,0,17,10,75.5,39.55696202531646,30.39240506329114,8.145569620253164,0.0,29.992594936708862,0.0,2.5949367088607596
2017-02-26,29,26,29,159,44,2,33,6,73.1474358974359,39.256410256410255,34.532051282051285,7.0576923076923075,0.0,29.47429487179487,0.0,2.0256410256410255
2017-03-05,42,27,29,116,48,1,48,15,75.93037974683544,48.924050632911396,44.46835443037975,5.025316455696203,0.0,29.822468354430377,0.0,2.3227848101265822
2017-03-12,35,23,25,167,27,7,20,18,75.38414634146342,45.36585365853659,45.109756097560975,10.054878048780488,0.0,29.75640243902439,0.0,3.652439024390244
2017-03-19,32,12,15,144,33,0,25,11,77.19393939393939,55.78181818181818,53.04848484848485,7.672727272727273,0.0,29.470000000000002,0.0,2.278787878787879
2017-03-26,34,22,14,112,33,0,31,30,81.31012658227849,60.24683544303797,53.322784810126585,8.19620253164557,0.0,29.820632911392405,0.0,1.4683544303797469
2017-04-02,25,14,28,133,39,0,20,37,82.56050955414013,66.98089171974522,61.94904458598726,7.076433121019108,0.0,29.37082802547771,0.0,1.4713375796178343
2017-04-09,31,17,22,119,34,3,47,22,82.91411042944786,47.47852760736196,38.31288343558282,8.791411042944786,0.0,29.707975460122697,0.0,3.98159509202454
2017-04-16,42,12,17,107,20,2,58,22,84.28025477707007,55.35668789808917,41.388535031847134,6.904458598726115,0.0,29.521910828025476,0.0,1.2038216560509554
2017-04-23,26,20,22,124,37,2,17,13,84.47770700636943,70.01910828025478,63.94267515923567,11.095541401273886,0.0,29.612229299363058,0.0,2.089171974522293
2017-04-30,30,25,19,93,28,2,44,41,85.91082802547771,67.64968152866243,60.095541401273884,10.694267515923567,0.0,29.68140127388535,0.0,2.3184713375796178
2017-05-07,19,24,17,83,27,0,41,25,87.70440251572327,70.32704402515724,57.100628930817614,9.144654088050315,0.0,29.519874213836477,0.0,0.6855345911949685
