index,datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Condition_int
153,1/8/2014,0,0,0,1,0,0,0,0,72,27,19,ENE,8,0,29.89,0,Fair,0
154,1/8/2014,1,1,1,6,3,0,0,0,68,27,21,ENE,6,0,29.89,0,Fair,0
156,1/8/2014,0,0,0,1,0,0,1,0,61,28,29,ENE,6,0,29.92,0,Partly Cloudy,2
157,1/8/2014,0,0,0,0,0,0,2,0,59,30,34,NNE,12,0,29.98,0,Fair,0
158,1/8/2014,0,0,0,0,0,0,0,0,55,0,41,NNE,7,0,30.01,0,Fair,0
159,1/8/2014,0,0,0,0,0,0,0,0,54,34,47,NNE,5,0,30.01,0,Fair,0
160,1/9/2014,0,0,0,0,0,0,0,0,54,34,47,N,7,0,29.98,0,Fair,0
161,1/9/2014,0,0,0,0,0,0,0,0,54,34,47,N,6,0,29.98,0,Fair,0
162,1/9/2014,0,0,0,0,0,0,0,0,52,0,47,N,7,0,29.98,0,Fair,0
163,1/9/2014,0,0,0,0,0,0,0,0,52,0,47,N,6,0,29.98,0,Fair,0
164,1/9/2014,0,0,0,0,0,0,0,0,0,0,0,N,6,0,29.98,0,Fair,0
165,1/9/2014,0,0,0,0,0,0,0,0,48,0,54,N,5,0,29.98,0,Fair,0
167,1/9/2014,0,0,0,0,1,0,0,0,48,37,66,N,6,0,30.01,0,Fair,0
168,1/9/2014,1,0,0,0,0,0,0,0,54,39,58,N,6,0,30.04,0,Fair,0
169,1/9/2014,0,0,0,5,1,0,0,0,55,39,54,NNE,7,0,30.04,0,Fair,0
170,1/9/2014,0,0,0,0,0,0,0,1,63,36,37,NNE,14,0,30.07,0,Fair,0
171,1/9/2014,1,1,0,5,1,0,0,0,66,34,30,NNE,12,0,30.07,0,Fair,0
172,1/9/2014,0,0,1,1,2,0,0,0,70,30,23,NE,12,0,30.04,0,Fair,0
173,1/9/2014,1,0,2,0,3,0,1,1,72,30,22,NE,10,0,30.01,0,Fair,0
174,1/9/2014,1,0,1,1,2,0,0,0,72,30,22,ENE,9,0,29.95,0,Fair,0
176,1/9/2014,2,0,0,1,2,0,0,0,72,30,22,NE,3,0,29.92,0,Fair,0
177,1/9/2014,0,0,1,2,1,0,0,0,72,30,22,NNE,6,0,29.92,0,Fair,0
178,1/9/2014,1,0,1,0,0,0,0,0,68,30,24,E,8,0,29.92,0,Fair,0
179,1/9/2014,0,0,0,6,0,0,2,0,66,36,32,CALM,0,0,29.95,0,Fair,0
180,1/9/2014,0,0,0,3,0,0,0,0,63,37,39,CALM,0,0,29.98,0,Fair,0
181,1/9/2014,0,0,0,0,0,0,0,0,61,0,34,E,5,0,29.98,0,Fair,0
182,1/9/2014,0,0,0,0,0,0,0,0,61,0,34,NE,10,0,30.01,0,Fair,0
183,1/9/2014,0,0,0,0,0,0,0,0,57,0,38,NE,7,0,30.01,0,Fair,0
184,1/10/2014,0,0,0,0,0,0,0,0,0,0,0,NE,7,0,29.98,0,Fair,0
186,1/10/2014,0,0,0,0,0,0,0,0,50,34,54,N,6,0,29.95,0,Fair,0
187,1/10/2014,0,0,0,0,0,0,0,0,50,34,54,N,3,0,29.95,0,Fair,0
188,1/10/2014,0,0,0,0,0,0,0,0,48,34,57,NNE,3,0,29.95,0,Fair,0
189,1/10/2014,0,0,0,0,0,0,0,0,48,34,57,NNE,9,0,29.92,0,Fair,0
192,1/10/2014,0,0,0,0,4,0,0,0,48,34,57,N,3,0,29.98,0,Partly Cloudy,2
193,1/10/2014,1,0,1,0,3,0,0,0,55,34,44,NW,3,0,30.01,0,Fair,0
194,1/10/2014,1,0,0,0,1,0,0,1,61,0,34,N,6,0,30.04,0,Fair,0
195,1/10/2014,0,0,0,0,2,1,0,0,64,34,32,N,6,0,30.04,0,Fair,0
196,1/10/2014,0,0,0,10,1,1,0,0,68,27,21,NNE,9,0,30.01,0,Fair,0
197,1/10/2014,2,0,0,12,2,0,0,1,68,27,21,N,7,0,29.98,0,Fair,0
198,1/10/2014,0,0,0,10,0,0,0,0,70,23,17,NW,9,0,29.92,0,Fair,0
200,1/10/2014,0,0,0,0,0,0,0,0,72,12,10,NNE,14,0,29.92,0,Fair,0
201,1/10/2014,0,0,0,12,1,0,0,0,72,14,11,N,9,0,29.92,0,Partly Cloudy,2
202,1/10/2014,1,1,0,1,0,0,0,0,68,19,16,NNE,8,0,29.95,0,Partly Cloudy,2
203,1/10/2014,0,0,0,2,0,0,0,0,64,0,30,NE,12,0,29.98,0,Partly Cloudy,2
204,1/10/2014,0,0,1,5,0,0,0,0,63,0,32,NE,14,0,30.01,0,Fair,0
205,1/10/2014,0,0,0,0,0,0,0,0,59,30,34,E,6,0,30.04,0,Fair,0
206,1/10/2014,0,0,0,0,0,0,0,0,59,30,34,NE,6,0,30.04,0,Fair,0
208,1/11/2014,0,0,0,0,0,0,0,0,54,34,47,NE,5,0,30.07,0,Fair,0
209,1/11/2014,0,0,0,0,0,0,0,0,54,0,44,NE,8,0,30.07,0,Fair,0
210,1/11/2014,0,0,0,0,0,0,0,0,52,30,44,NNE,6,0,30.07,0,Fair,0
211,1/11/2014,0,0,0,0,0,0,0,0,52,30,44,N,8,0,30.04,0,Fair,0
212,1/11/2014,0,0,0,0,0,0,0,0,50,28,43,N,9,0,30.04,0,Fair,0
213,1/11/2014,0,0,0,0,0,0,0,0,48,27,43,NNE,7,0,30.04,0,Fair,0
215,1/11/2014,0,0,0,0,0,0,0,0,46,25,43,VAR,3,0,30.04,0,Fair,0
217,1/11/2014,0,0,1,2,0,0,0,0,54,25,33,CALM,0,0,30.1,0,Partly Cloudy,2
218,1/11/2014,0,0,2,0,1,0,0,0,61,23,23,N,7,0,30.13,0,Partly Cloudy,2
219,1/11/2014,0,0,0,2,1,0,0,0,66,21,18,NE,8,0,30.13,0,Partly Cloudy,2
220,1/11/2014,1,0,1,6,1,0,0,0,70,19,15,ENE,12,0,30.1,0,Partly Cloudy,2
221,1/11/2014,1,0,0,2,1,0,0,0,70,19,15,ENE,13,0,30.1,0,Partly Cloudy,2
222,1/11/2014,0,1,0,2,2,0,0,0,72,19,14,ENE,12,0,0,0,Partly Cloudy,2
224,1/11/2014,1,0,2,3,3,0,0,0,72,19,14,NE,8,0,30.01,0,Partly Cloudy,2
225,1/11/2014,0,1,1,4,0,0,0,0,72,19,14,E,9,0,30.01,0,Partly Cloudy,2
226,1/11/2014,0,0,2,1,1,0,0,0,66,21,18,ENE,7,0,30.04,0,Partly Cloudy,2
227,1/11/2014,1,0,0,16,0,0,0,0,64,23,21,ENE,8,0,30.07,0,Partly Cloudy,2
228,1/11/2014,0,0,1,5,0,0,1,0,63,25,24,NE,12,0,30.07,0,Fair,0
229,1/11/2014,0,0,0,0,0,0,0,0,59,25,27,NNE,9,0,30.1,0,Fair,0
230,1/11/2014,0,0,0,0,0,0,0,0,59,27,29,ENE,5,0,30.1,0,Fair,0
231,1/11/2014,0,0,0,0,0,0,0,0,54,27,35,N,3,0,30.1,0,Fair,0
232,1/12/2014,0,0,0,0,0,0,0,0,52,27,38,NE,3,0,30.1,0,Fair,0
233,1/12/2014,0,0,0,0,0,0,0,0,50,27,40,NNW,9,0,30.1,0,Fair,0
235,1/12/2014,0,0,0,0,0,0,0,0,48,28,46,NE,7,0,30.07,0,Fair,0
236,1/12/2014,0,0,0,0,0,0,0,0,46,28,50,NNE,7,0,30.07,0,Fair,0
237,1/12/2014,0,0,0,0,0,0,0,0,46,28,50,NNE,5,0,30.07,0,Fair,0
239,1/12/2014,0,0,0,0,0,0,0,0,45,28,53,NNE,5,0,30.1,0,Fair,0
240,1/12/2014,0,0,0,0,0,0,0,0,46,27,46,NE,12,0,30.1,0,Fair,0
241,1/12/2014,0,0,1,0,1,0,0,0,52,27,38,NE,5,0,30.13,0,Partly Cloudy,2
242,1/12/2014,1,0,0,4,3,0,0,0,64,28,26,NNE,8,0,30.16,0,Partly Cloudy,2
243,1/12/2014,0,0,0,0,1,0,0,0,66,27,23,NNE,9,0,30.16,0,Partly Cloudy,2
244,1/12/2014,1,0,2,5,2,0,1,1,70,27,20,NNE,10,0,30.13,0,Partly Cloudy,2
245,1/12/2014,0,0,0,3,1,0,0,0,72,25,17,NE,12,0,30.1,0,Mostly Cloudy,3
246,1/12/2014,0,0,0,0,0,0,0,0,73,23,15,NNE,7,0,30.04,0,Partly Cloudy,2
247,1/12/2014,0,0,0,0,0,0,0,0,72,23,16,N,6,0,30.04,0,Partly Cloudy,2
248,1/12/2014,0,0,0,0,0,0,0,0,72,21,15,ENE,7,0,30.01,0,Partly Cloudy,2
249,1/12/2014,0,0,0,0,0,0,0,0,72,21,15,NNE,5,0,30.01,0,Partly Cloudy,2
250,1/12/2014,0,0,0,0,0,0,0,0,72,21,15,E,6,0,30.01,0,Partly Cloudy,2
251,1/12/2014,0,0,0,0,0,0,0,0,64,25,22,ENE,6,0,30.04,0,Partly Cloudy,2
252,1/12/2014,0,0,0,0,0,0,0,0,64,25,22,ENE,6,0,30.04,0,Partly Cloudy,2
253,1/12/2014,0,0,0,0,0,0,0,0,63,25,24,VAR,3,0,30.07,0,Partly Cloudy,2
254,1/12/2014,0,0,0,0,0,0,0,0,63,27,26,VAR,2,0,30.07,0,Partly Cloudy,2
255,1/12/2014,0,0,0,0,0,0,0,0,52,28,41,NNE,6,0,30.07,0,Partly Cloudy,2
256,1/13/2014,0,0,0,0,0,0,0,0,57,30,36,N,7,0,30.07,0,Partly Cloudy,2
257,1/13/2014,0,0,0,0,0,0,0,0,57,30,36,NE,12,0,30.04,0,Partly Cloudy,2
258,1/13/2014,0,0,0,0,0,0,0,0,55,30,38,NE,12,0,30.04,0,Partly Cloudy,2
259,1/13/2014,0,0,0,0,0,0,0,0,55,28,36,ENE,3,0,30.01,0,Fair,0
260,1/13/2014,0,0,0,0,0,0,0,0,54,30,41,NE,3,0,30.01,0,Partly Cloudy,2
261,1/13/2014,0,0,0,0,0,0,0,0,54,30,41,N,5,0,30.01,0,Partly Cloudy,2
263,1/13/2014,0,0,0,1,0,0,0,0,50,30,47,NNE,5,0,30.04,0,Fair,0
264,1/13/2014,0,1,0,1,1,0,0,0,54,0,44,N,3,0,30.07,0,Partly Cloudy,2
265,1/13/2014,0,2,0,5,0,0,0,0,57,30,36,N,3,0,30.07,0,Mostly Cloudy,3
266,1/13/2014,0,1,1,17,1,0,0,0,64,28,26,NE,6,0,30.1,0,Partly Cloudy,2
267,1/13/2014,1,0,0,10,1,0,0,0,70,28,21,NE,5,0,30.1,0,Mostly Cloudy,3
268,1/13/2014,1,0,0,0,3,0,0,0,72,37,29,NW,5,0,30.07,0,Partly Cloudy,2
270,1/13/2014,0,0,1,3,0,0,0,0,75,28,18,E,14,0,29.98,0,Partly Cloudy,2
271,1/13/2014,1,0,1,1,1,0,0,0,75,34,22,NNE,12,0,29.95,0,Partly Cloudy,2
272,1/13/2014,1,0,0,5,1,0,5,0,77,34,21,VAR,2,0,29.95,0,Partly Cloudy,2
273,1/13/2014,0,0,1,2,0,0,0,0,73,39,29,SW,10,0,29.92,0,Mostly Cloudy,3
274,1/13/2014,0,1,0,1,0,0,2,0,70,45,40,WSW,9,0,29.95,0,Mostly Cloudy,3
275,1/13/2014,1,2,0,2,0,0,0,0,66,45,46,WSW,5,0,29.95,0,Mostly Cloudy,3
276,1/13/2014,0,0,0,3,0,0,0,0,64,46,52,WSW,2,0,29.98,0,Partly Cloudy,2
277,1/13/2014,1,0,0,0,0,0,0,1,63,45,52,CALM,0,0,29.98,0,Partly Cloudy,2
278,1/13/2014,0,0,0,0,0,0,0,0,59,46,63,ENE,6,0,29.98,0,Partly Cloudy,2
279,1/13/2014,0,0,0,0,0,0,0,0,57,45,63,ENE,7,0,30.01,0,Fair,0
280,1/14/2014,0,0,0,0,0,0,0,0,57,45,63,ENE,6,0,29.98,0,Fair,0
281,1/14/2014,0,0,0,0,0,0,0,0,55,41,58,NE,3,0,29.98,0,Fair,0
282,1/14/2014,0,0,0,0,0,0,0,0,54,37,54,ENE,6,0,29.98,0,Fair,0
283,1/14/2014,0,0,0,0,0,0,0,0,52,34,50,NNE,6,0,29.98,0,Fair,0
284,1/14/2014,0,0,0,0,0,0,0,0,54,30,41,NNE,6,0,29.98,0,Fair,0
285,1/14/2014,0,0,0,0,0,0,0,0,50,0,50,N,5,0,29.95,0,Fair,0
287,1/14/2014,0,0,0,0,0,0,0,0,48,0,54,NNE,5,0,29.98,0,Fair,0
288,1/14/2014,0,0,0,2,0,0,0,0,48,0,54,N,2,0,30.01,0,Fair,0
289,1/14/2014,2,0,0,3,1,0,0,0,55,0,41,N,5,0,30.01,0,Fair,0
290,1/14/2014,0,0,0,3,1,0,0,0,64,0,30,NE,8,0,30.04,0,Fair,0
291,1/14/2014,1,0,0,9,0,0,0,0,72,27,19,NE,12,0,30.04,0,Fair,0
292,1/14/2014,0,1,4,0,2,0,0,0,73,0,22,N,9,0,30.01,0,Fair,0
293,1/14/2014,0,1,3,0,2,0,0,1,75,36,24,N,7,0,0,0,Fair,0
