,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Temperature,Dew Point,Humidity,Wind Speed,Wind,Pressure,IntCondition,Year,Month,Day,date,Date,Event
29,1,2,7,27,9,0,1,0,71.38095238,47.04761905,47.80952381,7.142857143,133.1904762,28.51095238,1.761904762,2014,1,31,1/31/2014,2014-01-31,0
30,4,5,5,43,13,1,14,0,71.95652174,45.73913043,41.91304348,6.47826087,76.52173913,29.90478261,3.869565217,2014,2,1,2/1/2014,2014-02-01,0
31,7,3,0,13,6,2,8,0,70.86956522,44.34782609,40.65217391,7.086956522,157.7391304,28.58434783,3.173913043,2014,2,2,2/2/2014,2014-02-02,0
32,4,1,6,28,13,1,1,0,69.6,53.85,58.55,10.9,184.75,28.379,1.9,2014,2,3,2/3/2014,2014-02-03,0
33,1,3,7,31,8,1,17,2,71.56521739,58.95652174,67.34782609,8.260869565,122.4782609,28.53086957,1.0,2014,2,4,2/4/2014,2014-02-04,0
34,3,4,6,32,15,1,1,1,71.17391304,61.26086957,72.17391304,8.130434783,209.5217391,27.19304348,1.391304348,2014,2,5,2/5/2014,2014-02-05,1
35,3,6,4,41,17,2,5,2,72.65217391,62.86956522,72.60869565,10.82608696,257.5217391,29.74608696,4.826086957,2014,2,6,2/6/2014,2014-02-06,0
36,2,8,11,21,19,1,0,0,68.56521739,33.04347826,32.30434783,14.04347826,261.3913043,29.80130435,1.434782609,2014,2,7,2/7/2014,2014-02-07,0
37,2,2,13,30,12,1,1,1,63.54545455,29.40909091,35.18181818,7.0,134.2272727,29.82954545,1.0,2014,2,8,2/8/2014,2014-02-08,0
38,4,3,2,31,10,0,6,0,63.04347826,31.69565217,37.91304348,7.608695652,97.0,29.83478261,1.0,2014,2,9,2/9/2014,2014-02-09,0
39,5,10,8,32,16,3,3,1,65.59090909,32.54545455,35.45454545,10.5,200.7727273,28.42909091,2.272727273,2014,2,10,2/10/2014,2014-02-10,0
40,10,6,13,45,20,2,6,2,65.68181818,25.54545455,28.18181818,7.0,133.1363636,29.81681818,1.0,2014,2,11,2/11/2014,2014-02-11,0
41,9,1,9,74,9,0,5,0,66.69565217,24.52173913,22.86956522,12.95652174,52.08695652,29.80217391,1.217391304,2014,2,12,2/12/2014,2014-02-12,0
42,4,3,10,48,13,3,0,1,67.75,25.33333333,27.625,12.79166667,102.5416667,28.53916667,3.75,2014,2,13,2/13/2014,2014-02-13,0
43,4,4,3,42,13,4,0,6,67.40909091,27.31818182,31.54545455,7.0,158.8181818,28.45227273,3.318181818,2014,2,14,2/14/2014,2014-02-14,0
44,1,2,2,37,9,0,1,5,68.19047619,30.80952381,31.23809524,11.04761905,267.1428571,29.79,1.0,2014,2,15,2/15/2014,2014-02-15,0
45,0,2,1,34,5,2,3,1,66.08695652,19.73913043,24.56521739,11.08695652,35.43478261,29.89043478,1.043478261,2014,2,16,2/16/2014,2014-02-16,0
46,7,4,12,27,13,1,7,0,68.30434783,21.52173913,18.39130435,10.65217391,65.82608696,29.99826087,1.173913043,2014,2,17,2/17/2014,2014-02-17,0
47,7,7,6,45,14,0,13,5,67.2173913,26.34782609,26.86956522,6.565217391,136.2173913,29.95913043,1.0,2014,2,18,2/18/2014,2014-02-18,0
48,3,5,5,66,17,1,6,1,67.59090909,50.45454545,54.90909091,9.363636364,212.9090909,29.865,1.409090909,2014,2,19,2/19/2014,2014-02-19,0
49,6,6,3,21,14,1,8,1,66.95238095,51.61904762,59.38095238,8.904761905,148.0952381,28.40904762,1.0,2014,2,20,2/20/2014,2014-02-20,0
50,6,4,8,20,16,0,0,0,70.47619048,50.14285714,54.61904762,6.714285714,142.7619048,29.84333333,1.0,2014,2,21,2/21/2014,2014-02-21,0
51,7,3,6,26,12,0,1,0,70.82608696,35.34782609,37.56521739,11.43478261,55.95652174,29.93173913,1.0,2014,2,22,2/22/2014,2014-02-22,0
52,1,3,2,21,10,0,0,0,68.45,34.5,31.45,10.65,37.25,29.9935,1.25,2014,2,23,2/23/2014,2014-02-23,0
53,7,4,5,26,4,0,0,3,71.25,33.45833333,27.125,18.29166667,32.16666667,29.97,3.333333333,2014,2,24,2/24/2014,2014-02-24,0
54,5,1,11,35,13,0,0,2,71.63636364,34.45454545,29.81818182,8.454545455,124.9545455,28.57227273,1.863636364,2014,2,25,2/25/2014,2014-02-25,0
55,4,4,1,22,4,0,12,1,69.19047619,44.33333333,44.57142857,6.571428571,133.047619,29.87761905,1.0,2014,2,26,2/26/2014,2014-02-26,0
56,3,6,4,33,8,1,2,1,73.08695652,35.30434783,36.73913043,11.04347826,189.0434783,29.83,1.086956522,2014,2,27,2/27/2014,2014-02-27,0
57,7,8,6,37,12,1,2,0,68.66666667,43.25,41.75,6.916666667,133.2916667,28.61208333,1.625,2014,2,28,2/28/2014,2014-02-28,0
58,6,3,11,50,8,0,0,2,68.16666667,43.16666667,46.95833333,7.291666667,135.25,29.89125,1.0,2014,3,1,3/1/2014,2014-03-01,0
59,3,1,2,6,2,0,0,1,70.26086957,58.26086957,66.7826087,9.043478261,175.4347826,29.89565217,3.130434783,2014,3,2,3/2/2014,2014-03-02,0
60,4,3,1,21,1,2,0,2,70.47826087,58.82608696,69.13043478,7.52173913,149.826087,29.88956522,4.304347826,2014,3,3,3/3/2014,2014-03-03,0
61,5,6,7,47,9,0,5,4,71.82608696,58.13043478,64.91304348,10.56521739,74.65217391,29.92391304,3.608695652,2014,3,4,3/4/2014,2014-03-04,0
62,2,1,3,24,4,0,1,0,71.22727273,54.45454545,58.13636364,8.181818182,176.1818182,29.93590909,1.318181818,2014,3,5,3/5/2014,2014-03-05,0
63,3,2,5,44,17,1,5,1,74.26086957,54.39130435,53.82608696,7.652173913,125.5217391,29.91043478,1.0,2014,3,6,3/6/2014,2014-03-06,0
64,4,4,9,25,3,1,0,2,76.73913043,50.0,44.2173913,7.086956522,123.4782609,28.61086957,1.0,2014,3,7,3/7/2014,2014-03-07,0
65,4,3,1,27,11,0,0,0,78.9047619,45.47619048,35.52380952,7.904761905,146.047619,29.92285714,1.0,2014,3,8,3/8/2014,2014-03-08,0
66,1,0,4,11,3,0,5,0,76.56521739,47.91304348,38.04347826,6.565217391,141.173913,29.88043478,1.0,2014,3,9,3/9/2014,2014-03-09,0
67,6,4,3,46,10,0,0,2,76.22727273,58.0,55.54545455,9.318181818,216.0,29.815,1.0,2014,3,10,3/10/2014,2014-03-10,0
68,6,5,7,31,12,1,1,5,74.52173913,31.73913043,26.47826087,9.0,181.173913,29.84478261,1.652173913,2014,3,11,3/11/2014,2014-03-11,0
69,6,2,6,20,22,3,2,2,75.33333333,21.9047619,17.61904762,15.23809524,58.0952381,29.93428571,1.285714286,2014,3,12,3/12/2014,2014-03-12,0
70,2,3,5,15,10,0,26,2,76.56521739,27.30434783,21.2173913,13.69565217,39.39130435,29.9526087,1.130434783,2014,3,13,3/13/2014,2014-03-13,0
71,4,1,1,16,11,0,1,2,78.68181818,36.72727273,24.18181818,7.454545455,124.0,29.88863636,1.954545455,2014,3,14,3/14/2014,2014-03-14,0
72,4,2,11,23,18,1,6,2,79.43478261,36.69565217,23.82608696,7.260869565,179.2608696,29.88043478,2.956521739,2014,3,15,3/15/2014,2014-03-15,0
73,2,2,1,13,6,0,0,4,80.08695652,49.26086957,35.04347826,10.52173913,215.4347826,29.90826087,3.565217391,2014,3,16,3/16/2014,2014-03-16,0
74,8,3,6,36,6,1,0,1,79.26315789,56.47368421,47.05263158,13.26315789,257.2631579,29.87842105,2.210526316,2014,3,17,3/17/2014,2014-03-17,0
75,8,4,5,20,9,0,0,4,77.60869565,47.04347826,40.47826087,8.086956522,192.9565217,29.89782609,1.695652174,2014,3,18,3/18/2014,2014-03-18,0
76,4,3,4,21,2,0,0,2,78.0,37.16666667,25.41666667,8.041666667,150.2083333,29.88541667,1.0,2014,3,19,3/19/2014,2014-03-19,0
77,3,5,1,38,5,0,7,4,75.0,52.47826087,49.73913043,8.739130435,213.6086957,28.49956522,2.043478261,2014,3,20,3/20/2014,2014-03-20,0
78,6,3,5,40,4,0,2,1,76.20833333,63.70833333,66.125,13.33333333,261.7083333,28.47166667,1.791666667,2014,3,21,3/21/2014,2014-03-21,0
79,3,2,0,26,10,2,18,8,79.04545455,65.31818182,64.95454545,9.5,231.3636364,29.67909091,3.045454545,2014,3,22,3/22/2014,2014-03-22,0
80,6,2,4,19,0,1,0,3,74.30434783,59.47826087,59.39130435,7.652173913,184.173913,29.72391304,2.304347826,2014,3,23,3/23/2014,2014-03-23,1
81,5,1,4,23,7,0,6,3,78.29166667,59.66666667,55.125,10.0,141.0,29.7925,3.625,2014,3,24,3/24/2014,2014-03-24,0
82,3,1,9,36,6,0,1,1,74.95652174,52.82608696,48.34782609,9.086956522,217.5217391,29.82782609,2.47826087,2014,3,25,3/25/2014,2014-03-25,0
83,2,4,9,6,7,3,3,0,80.04166667,46.33333333,32.33333333,8.875,175.5833333,29.8075,4.416666667,2014,3,26,3/26/2014,2014-03-26,0
84,4,0,2,20,6,1,1,5,82.2173913,46.7826087,29.34782609,7.173913043,209.6956522,28.51391304,4.695652174,2014,3,27,3/27/2014,2014-03-27,0
85,2,2,8,11,3,0,9,5,77.79166667,57.08333333,49.875,8.666666667,222.5,29.815,4.375,2014,3,28,3/28/2014,2014-03-28,0
86,4,6,4,24,8,2,9,3,78.82608696,58.2173913,52.0,9.434782609,193.9565217,29.83347826,1.782608696,2014,3,29,3/29/2014,2014-03-29,0
87,3,2,0,12,4,0,0,7,80.04166667,60.0,53.33333333,8.291666667,223.3333333,27.32708333,2.416666667,2014,3,30,3/30/2014,2014-03-30,0
88,5,2,4,15,6,1,4,6,80.41666667,58.25,50.20833333,10.66666667,273.0833333,29.7575,1.25,2014,3,31,3/31/2014,2014-03-31,0
89,4,1,6,27,5,3,3,1,80.04347826,63.82608696,60.69565217,14.04347826,260.3913043,28.43565217,2.086956522,2014,4,1,4/1/2014,2014-04-01,0
90,2,4,8,23,1,0,7,3,79.5,68.25,70.41666667,10.08333333,245.0416667,28.46291667,3.083333333,2014,4,2,4/2/2014,2014-04-02,0
91,1,1,3,19,4,0,0,4,80.19047619,67.42857143,66.57142857,7.666666667,232.7142857,29.75571429,2.142857143,2014,4,3,4/3/2014,2014-04-03,0
92,3,3,3,24,9,3,8,2,81.125,65.20833333,61.375,10.33333333,272.2083333,29.78,2.333333333,2014,4,4,4/4/2014,2014-04-04,0
93,1,7,7,20,5,0,5,3,79.04347826,67.86956522,69.60869565,10.65217391,264.3478261,29.76043478,3.086956522,2014,4,5,4/5/2014,2014-04-05,0
94,2,1,1,19,1,0,0,1,83.9,63.9,54.5,13.8,272.6,29.75,3.55,2014,4,6,4/6/2014,2014-04-06,0
95,6,6,6,32,4,0,0,1,82.875,41.29166667,31.79166667,9.375,178.25,29.83125,3.333333333,2014,4,7,4/7/2014,2014-04-07,0
96,4,2,1,19,6,1,0,4,80.16666667,49.375,36.625,9.166666667,192.3333333,29.8175,3.375,2014,4,8,4/8/2014,2014-04-08,0
97,6,0,1,18,2,1,2,3,74.91666667,57.33333333,55.29166667,8.041666667,209.375,29.7975,2.041666667,2014,4,9,4/9/2014,2014-04-09,0
98,3,2,1,18,10,0,4,4,80.13043478,63.91304348,60.7826087,8.565217391,230.2608696,29.80478261,2.347826087,2014,4,10,4/10/2014,2014-04-10,0
99,6,4,3,25,2,2,0,2,82.61904762,60.76190476,49.95238095,12.04761905,274.5714286,28.35761905,1.0,2014,4,11,4/11/2014,2014-04-11,0
100,6,3,6,23,17,0,11,4,80.13043478,66.56521739,64.13043478,11.56521739,255.5217391,29.71608696,1.260869565,2014,4,12,4/12/2014,2014-04-12,0
101,3,2,2,6,3,0,5,2,80.79166667,68.16666667,66.75,11.75,263.75,29.6925,2.125,2014,4,13,4/13/2014,2014-04-13,0
102,1,4,5,28,10,0,5,5,82.125,70.25,68.08333333,8.5,233.6666667,28.49666667,3.5,2014,4,14,4/14/2014,2014-04-14,0
103,4,3,6,18,12,0,10,1,83.91666667,70.625,65.625,8.166666667,241.1666667,29.77625,3.75,2014,4,15,4/15/2014,2014-04-15,0
104,2,0,4,25,1,0,6,4,83.54545455,70.27272727,65.13636364,10.90909091,272.3181818,29.72272727,2.363636364,2014,4,16,4/16/2014,2014-04-16,0
105,5,0,7,16,19,0,0,0,82.16666667,71.0,69.08333333,10.08333333,254.3333333,28.40291667,2.75,2014,4,17,4/17/2014,2014-04-17,0
106,7,7,6,17,10,1,0,3,83.77272727,71.54545455,67.63636364,9.181818182,201.6818182,29.71454545,5.363636364,2014,4,18,4/18/2014,2014-04-18,0
107,7,3,4,22,7,0,3,5,84.5,69.95833333,62.79166667,8.75,214.0416667,29.75625,1.958333333,2014,4,19,4/19/2014,2014-04-19,0
108,0,0,0,0,0,0,0,0,85.7826087,67.7826087,59.52173913,12.2173913,201.7826087,29.74086957,3.391304348,2014,4,20,4/20/2014,2014-04-20,0
109,1,2,2,13,8,0,0,1,86.08333333,51.91666667,31.625,8.083333333,127.75,29.745,3.708333333,2014,4,21,4/21/2014,2014-04-21,0
110,5,7,3,32,8,1,0,1,85.625,55.83333333,36.66666667,8.333333333,192.5,28.60125,1.375,2014,4,22,4/22/2014,2014-04-22,0
111,6,2,3,24,8,1,2,1,88.04545455,55.04545455,35.54545455,10.09090909,262.1818182,29.81272727,1.954545455,2014,4,23,4/23/2014,2014-04-23,0
112,2,2,1,26,6,0,6,2,84.125,68.95833333,61.95833333,13.20833333,274.0833333,29.725,1.791666667,2014,4,24,4/24/2014,2014-04-24,0
113,3,1,5,25,10,1,1,3,84.79166667,72.25,67.25,11.625,268.4583333,29.70375,3.125,2014,4,25,4/25/2014,2014-04-25,0
114,1,2,5,35,11,1,0,4,88.6,64.7,49.5,8.45,256.7,26.742,2.85,2014,4,26,4/26/2014,2014-04-26,0
115,4,2,2,26,2,0,1,1,89.16666667,66.875,50.75,9.166666667,259.0416667,29.72125,1.375,2014,4,27,4/27/2014,2014-04-27,0
116,1,2,3,29,8,2,0,2,91.5,62.16666667,44.33333333,11.45833333,280.5416667,29.7025,1.0,2014,4,28,4/28/2014,2014-04-28,0
117,3,2,4,24,6,1,5,0,88.04347826,65.2173913,49.60869565,11.2173913,264.3478261,29.65869565,1.347826087,2014,4,29,4/29/2014,2014-04-29,0
118,4,2,7,42,11,0,7,4,85.95652174,72.04347826,64.2173913,11.2173913,267.173913,29.64826087,2.347826087,2014,4,30,4/30/2014,2014-04-30,0
119,0,0,0,0,0,0,0,0,85.82608696,72.60869565,62.13043478,13.26086957,271.173913,29.63913043,1.739130435,2014,5,1,5/1/2014,2014-05-01,1
120,7,7,6,39,16,1,12,2,85.43478261,73.52173913,68.86956522,13.86956522,268.3043478,29.59478261,3.043478261,2014,5,2,5/2/2014,2014-05-02,0
121,4,5,2,15,5,2,0,2,85.86956522,74.30434783,69.34782609,11.65217391,268.2608696,29.58043478,4.217391304,2014,5,3,5/3/2014,2014-05-03,0
122,1,4,1,20,3,0,0,3,86.29166667,71.54166667,63.70833333,10.125,162.4166667,25.8875,3.5,2014,5,4,5/4/2014,2014-05-04,0
123,3,6,5,20,7,0,3,4,87.25,64.16666667,46.54166667,10.54166667,203.625,29.63875,3.291666667,2014,5,5,5/5/2014,2014-05-05,0
124,7,4,4,22,10,2,6,5,89.91666667,67.66666667,49.875,10.875,268.3333333,28.45416667,1.375,2014,5,6,5/6/2014,2014-05-06,0
125,3,5,3,16,8,1,3,11,89.43478261,64.56521739,46.08695652,10.69565217,274.1304348,29.66652174,1.0,2014,5,7,5/7/2014,2014-05-07,0
126,1,2,1,19,6,1,0,5,90.26666667,65.66666667,45.86666667,14.8,265.6666667,29.638,1.133333333,2014,5,8,5/8/2014,2014-05-08,0
127,2,4,4,14,12,2,1,2,88.80952381,67.66666667,53.42857143,13.61904762,270.2857143,29.56142857,1.285714286,2014,5,9,5/9/2014,2014-05-09,0
128,5,6,9,39,15,3,1,5,87.76190476,72.9047619,62.38095238,11.95238095,244.6190476,29.51428571,1.19047619,2014,5,10,5/10/2014,2014-05-10,0
129,2,3,1,17,7,0,1,4,86.375,73.70833333,66.66666667,14.04166667,249.6666667,29.62,4.5,2014,5,11,5/11/2014,2014-05-11,0
130,4,3,9,12,8,0,5,2,85.79166667,72.29166667,64.625,19.08333333,246.0416667,28.41791667,7.5,2014,5,12,5/12/2014,2014-05-12,0
131,3,0,6,32,7,0,25,7,85.875,73.0,66.04166667,19.375,248.9166667,29.6425,5.333333333,2014,5,13,5/13/2014,2014-05-13,0
132,1,2,5,22,3,0,0,3,85.0,71.82608696,65.52173913,15.13043478,217.4782609,28.37695652,4.52173913,2014,5,14,5/14/2014,2014-05-14,0
133,2,1,3,19,7,0,1,2,84.33333333,70.79166667,64.33333333,12.08333333,206.5416667,29.6625,4.208333333,2014,5,15,5/15/2014,2014-05-15,0
134,5,7,3,22,10,1,11,1,86.29166667,73.04166667,65.0,11.95833333,243.125,29.62625,4.375,2014,5,16,5/16/2014,2014-05-16,0
135,2,7,3,35,14,1,0,2,86.82608696,68.13043478,56.17391304,10.17391304,237.1304348,29.68869565,3.47826087,2014,5,17,5/17/2014,2014-05-17,0
136,3,2,5,9,6,0,0,1,85.45833333,68.25,57.5,10.75,244.0833333,29.73,1.666666667,2014,5,18,5/18/2014,2014-05-18,0
137,8,3,6,12,5,0,3,9,87.29166667,67.08333333,52.70833333,9.875,263.6666667,29.73625,1.0,2014,5,19,5/19/2014,2014-05-19,0
138,1,2,7,27,10,1,0,4,87.16666667,70.75,59.54166667,13.16666667,263.5833333,29.705,1.25,2014,5,20,5/20/2014,2014-05-20,0
139,2,4,9,15,6,1,0,3,88.39130435,72.47826087,60.86956522,13.39130435,267.2173913,27.07434783,1.565217391,2014,5,21,5/21/2014,2014-05-21,0
140,3,1,1,8,8,0,2,4,87.79166667,71.25,59.25,14.33333333,261.75,29.5925,1.083333333,2014,5,22,5/22/2014,2014-05-22,0
141,5,2,4,17,8,2,10,7,88.04166667,73.54166667,63.16666667,13.91666667,257.1666667,29.5325,1.083333333,2014,5,23,5/23/2014,2014-05-23,0
142,3,4,5,28,11,1,0,9,88.54545455,75.59090909,66.77272727,10.18181818,247.7727273,28.21909091,1.0,2014,5,24,5/24/2014,2014-05-24,0
143,2,3,1,7,8,0,5,1,88.5,75.75,67.08333333,8.416666667,250.4166667,29.59375,1.125,2014,5,25,5/25/2014,2014-05-25,0
144,2,3,7,18,7,1,0,5,88.41666667,74.66666667,65.875,7.291666667,245.8333333,29.6175,2.0,2014,5,26,5/26/2014,2014-05-26,0
145,0,2,5,29,12,1,1,6,89.04166667,73.0,62.375,10.70833333,275.9166667,29.62375,1.333333333,2014,5,27,5/27/2014,2014-05-27,0
146,1,5,1,10,9,0,2,5,88.17391304,74.60869565,65.52173913,13.91304348,269.2173913,29.61434783,1.043478261,2014,5,28,5/28/2014,2014-05-28,0
147,4,5,6,26,13,0,0,2,87.56521739,74.47826087,65.86956522,24.08695652,254.6086957,29.60391304,3.782608696,2014,5,29,5/29/2014,2014-05-29,0
148,2,1,2,20,12,0,0,5,88.56521739,74.04347826,63.13043478,18.04347826,249.826087,29.5673913,4.043478261,2014,5,30,5/30/2014,2014-05-30,0
149,6,3,2,28,10,0,15,2,83.91666667,72.54166667,65.33333333,15.91666667,247.9166667,28.30791667,4.541666667,2014,5,31,5/31/2014,2014-05-31,0
150,1,0,1,10,4,1,1,3,89.30434783,75.69565217,64.95652174,12.86956522,253.6956522,29.55565217,2.695652174,2014,6,1,6/1/2014,2014-06-01,0
151,4,4,10,23,16,3,0,3,91.04347826,75.13043478,60.95652174,13.56521739,232.0869565,29.60521739,2.086956522,2014,6,2,6/2/2014,2014-06-02,0
152,3,2,2,24,7,2,5,3,91.16666667,74.75,59.70833333,11.95833333,245.875,29.54875,4.375,2014,6,3,6/3/2014,2014-06-03,0
153,1,4,3,24,6,0,1,2,89.95833333,75.83333333,64.75,12.75,260.8333333,29.49125,1.541666667,2014,6,4,6/4/2014,2014-06-04,0
154,0,4,4,22,4,0,0,5,92.33333333,73.91666667,56.91666667,13.83333333,259.9583333,25.78625,1.125,2014,6,5,6/5/2014,2014-06-05,0
155,5,1,3,17,15,2,1,5,89.45833333,74.79166667,64.66666667,14.41666667,252.4166667,29.4675,1.416666667,2014,6,6,6/6/2014,2014-06-06,0
156,9,3,7,33,8,1,6,7,88.91304348,75.7826087,66.08695652,17.0,257.3913043,29.43956522,2.347826087,2014,6,7,6/7/2014,2014-06-07,0
157,1,2,3,11,8,0,6,2,92.08333333,74.54166667,59.83333333,12.125,228.9583333,14.675,3.083333333,2014,6,8,6/8/2014,2014-06-08,0
158,6,1,5,18,17,4,0,11,89.04166667,79.0,72.33333333,12.66666667,194.1666667,7.347916667,3.625,2014,6,9,6/9/2014,2014-06-09,0
159,8,2,4,23,16,2,2,7,88.375,74.75,64.66666667,14.25,216.875,28.21416667,4.041666667,2014,6,10,6/10/2014,2014-06-10,0
160,4,0,2,13,16,2,12,9,88.875,72.58333333,59.54166667,11.20833333,220.5833333,29.44875,1.625,2014,6,11,6/11/2014,2014-06-11,0
161,4,3,1,16,12,0,2,3,89.58333333,74.08333333,61.20833333,10.91666667,207.4583333,29.4375,4.0,2014,6,12,6/12/2014,2014-06-12,0
162,1,2,5,10,11,0,3,1,88.25,75.08333333,65.54166667,12.66666667,175.4166667,28.22041667,4.666666667,2014,6,13,6/13/2014,2014-06-13,0
163,4,4,6,8,9,0,1,2,89.52173913,76.82608696,66.7826087,10.73913043,194.9130435,25.59434783,4.347826087,2014,6,14,6/14/2014,2014-06-14,0
164,0,2,0,8,5,0,0,3,91.25,77.0,64.25,12.5,230.8333333,29.4175,3.833333333,2014,6,15,6/15/2014,2014-06-15,0
165,4,4,7,12,11,0,5,5,90.52173913,75.52173913,62.26086957,14.30434783,236.0869565,26.86173913,4.0,2014,6,16,6/16/2014,2014-06-16,0
166,5,2,4,14,12,2,0,3,89.04166667,75.33333333,64.33333333,16.33333333,236.5833333,29.40625,5.375,2014,6,17,6/17/2014,2014-06-17,0
167,2,2,5,18,6,0,1,3,89.20833333,77.33333333,68.125,14.75,223.4166667,29.34916667,5.625,2014,6,18,6/18/2014,2014-06-18,0
168,3,3,1,14,8,0,0,1,90.33333333,78.58333333,68.625,12.0,223.375,29.31958333,4.625,2014,6,19,6/19/2014,2014-06-19,0
169,7,2,3,14,9,0,3,6,91.26086957,77.43478261,64.65217391,13.91304348,236.0869565,28.05347826,3.739130435,2014,6,20,6/20/2014,2014-06-20,0
170,6,5,2,16,12,3,0,3,91.375,78.25,65.79166667,18.04166667,241.25,29.35375,5.166666667,2014,6,21,6/21/2014,2014-06-21,0
171,3,1,4,17,5,0,2,3,90.04347826,78.13043478,68.2173913,20.65217391,257.5217391,29.42391304,5.869565217,2014,6,22,6/22/2014,2014-06-22,0
172,2,7,3,25,12,0,2,3,89.52173913,75.95652174,65.04347826,22.17391304,250.826087,28.18,8.173913043,2014,6,23,6/23/2014,2014-06-23,0
